	Genes.tsv					KB	Simulation	Essentiality						EcoGene			WCM curation	Gene Ontology
Included	In Orth 2011	Substrates	EcoCyc ID	Symbol	Name	Annotation	Function	Synth_Prob	Prob(>=1 transcript/gen)	KEIO LB	KEIO MM 24h	KEIO MM 48h 	Gen footprin LB	PEC database	Mutagen LB	Name	Function	Description	Function	GO-terms
Yes	Yes	['CPD-10329 // L-FUCULOSE', 'D-arabinopyranose // D-RIBULOSE']	EG10349	fucI	FucI	characterized	characterized	0.000000366	0.06	0.731	0.31	0.338	N	N	N	L-fucose isomerase	Enzyme; Degradation of small molecules: Carbon compounds	L-fucose isomerase	Met Orth 	D-arabinose catabolic process
Yes	Yes	['ATP // D-RIBULOSE // PROTON // D-RIBULOSE-1-P // ADP', 'ATP // L-FUCULOSE // PROTON // FUCULOSE-1P // ADP']	EG10350	fucK	L-fuculokinase	characterized	characterized	1.35492819782E-06	0.31	0.854	0.305	0.318	N	N	N	L-fuculokinase	Enzyme; Degradation of small molecules: Carbon compounds	L-fuculose kinase	Met Orth 	D-arabinose catabolic process
Yes	Yes	['NAD // PROPANE-1-2-DIOL // LACTALD // NADH // PROTON', 'GLYCOL // NAD // PROTON // GLYCOLALDEHYDE // NADH']	EG10351	fucO	L-1,2-propanediol oxidoreductase monomer	characterized	characterized	5.72321593014E-07	0.25	0.749	0.386	0.427	N	N	N	L-1,2-propanediol oxidoreductase	Enzyme; Degradation of small molecules: Carbon compounds	L-1,2-Propanediol oxidoreductase	Met Orth 	glycol catabolic process
Yes	Yes	['D-ARABINOSE // PROTON', 'L-fucoses // PROTON', 'L-Galactose // PROTON']	EG10352	fucP	fucose H+ symporter	characterized	characterized	9.13005548346E-08	0.00	0.66	0.398	0.422	N	N	u	L-fucose transporter	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	Fucose permease	Met Orth 	fructose transport
Yes	Yes	['MAL // FUM // WATER', 'OXALACETIC_ACID // ENOL-OXALOACETATE']	EG10356	fumA	fumarase A monomer	characterized	characterized	0.000008884	0.94	0.746	0.337	0.325	N	N	u	fumarate hydratase (fumarase A), aerobic Class I	Enzyme; Energy metabolism, carbon: TCA cycle	Fumarase A, aerobic; negatively regulated by ryhB RNA as part of indirect positive regulation by Fur	Met Orth 	N/A
Yes	Yes	['MAL // FUM // WATER', 'D-TARTRATE // WATER // OXALACETIC_ACID']	EG10357	fumB	fumarase B monomer	characterized	characterized	1.45429023865E-07	0.06	0.86	0.316	0.336	N	N	u	anaerobic class I fumarate hydratase (fumarase B)	Enzyme; Energy metabolism, carbon: TCA cycle	Fumarase B, anaerobic	Met Orth 	N/A
Yes	Yes	['MAL // FUM // WATER']	EG10358	fumC	fumarase C monomer	characterized	characterized	4.18537097822E-06	0.84	0.767	0.265	0.262	N	N	u	fumarate hydratase (fumarase C),aerobic Class II	Enzyme; Energy metabolism, carbon: TCA cycle	Fumarase C, aerobic	Met Orth 	fumarate metabolic process
Yes	Yes	['4-AMINO-BUTYRATE // 2-KETOGLUTARATE // GLT // SUCC-S-ALD', '2-KETOGLUTARATE // N-ALPHA-ACETYLORNITHINE // CPD-469 // GLT']	EG10361	gabT	4-aminobutyrate aminotransferase monomer	characterized	characterized	1.47590871344E-06	0.34	0.733	0.247	0.285	N	N	N	4-aminobutyrate aminotransferase, PLP-dependent	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	4-aminobutyrate aminotransferase	Met Orth 	gamma-aminobutyric acid catabolic process
Yes	Yes	['CPD-12575 // CPD-14553']	EG10362	galE	UDP-glucose 4-epimerase monomer	characterized	characterized	0.000010854	1.00	0.713	0.484	0.716	N	N	N	UDP-galactose-4-epimerase	Enzyme; Degradation of small molecules: Carbon compounds	UDP-galactose 4-epimerase; hexose-1-phosphate uridylyltransferase	Met Orth 	galactose catabolic process via UDP-galactose
Yes	Yes	['ATP // ALPHA-D-GALACTOSE // PROTON // GALACTOSE-1P // ADP']	EG10363	galK	galactokinase	characterized	characterized	2.20673062487E-05	1.00	0.779	0.312	0.35	N	N	N	galactokinase	Enzyme; Degradation of small molecules: Carbon compounds	Galactokinase	Met Orth 	carbohydrate phosphorylation
Yes	Yes	['GALACTOSE-1P // CPD-12575 // CPD-14553 // GLC-1-P']	EG10366	galT	galactose-1-phosphate uridylyltransferase	characterized	characterized	8.22963068992E-06	0.91	0.723	0.361	0.664	N	N	u	galactose-1-phosphate uridylyltransferase	Enzyme; Degradation of small molecules: Carbon compounds	Galactose-1-phosphate uridylyltransferase; Rob regulon, repressed	Met Orth 	galactose catabolic process via UDP-galactose
Yes	Yes	['NAD // Pi // GAP // PROTON // DPG // NADH']	EG10367	gapA	glyceraldehyde 3-phosphate dehydrogenase-A monomer	characterized	characterized	0.0009589147	1.00	N.A.	N.A.	N.A.	E	N	u	glyceraldehyde-3-phosphate dehydrogenase A	Enzyme; Energy metabolism, carbon: Glycolysis	Glyceraldehyde 3-P dehydrogenase A	Met Orth 	pyridoxine biosynthetic process
Yes	Yes	['NAD // WATER // ERYTHROSE-4P // ERYTHRONATE-4P // NADH // PROTON']	EG10368	epd	Epd	characterized	characterized	6.56750515786E-05	1.00	0.844	0.321	0.344	N	N	N	D-erythrose 4-phosphate dehydrogenase	Enzyme; Central intermediary metabolism	Erythrose-4-P dehydrogenase	Met Orth 	pyridoxal phosphate biosynthetic process
Can add reaction	Yes	['E- // PROTON // Ubiquinones // Ubiquinols', 'PROTON // E- // GLC-D-LACTONE // Glucopyranose', 'Glucopyranose // Ubiquinones // Ubiquinols // GLC-D-LACTONE']	EG10369	gcd	quinoprotein glucose dehydrogenase	characterized	characterized	1.99933115876E-05	1.00	0.801	0.3	0.317	N	N	u	glucose dehydrogenase	Enzyme; Degradation of small molecules: Carbon compounds	Glucose dehydrogenase (pyrroloquinoline-quinone) quinoprotein; inner membrane protein	Met Orth 	non-phosphorylated glucose catabolic process
Yes	No	['PROTON // WATER // Oxidized-flavodoxins // HYDROXY-METHYL-BUTENYL-DIP // 2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE // Reduced-flavodoxins']	EG10370	ispG	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	characterized	characterized	0.0001044702	1.00	N.A.	N.A.	N.A.	E	E	u	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase	Null	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase; alternative nonmevalonate (DXP) pathway for terpenoid biosynthesis; [4Fe-4S] protein	Met Orth 	isopentenyl diphosphate biosynthetic process mevalonate-independent pathway
No	Yes		EG10371	gcvH	glycine cleavage system H protein	characterized	characterized	1.33288243526E-05	1.00	0.643	0.323	0.41	N	N	N	glycine cleavage complex lipoylprotein	Carrier; Central intermediary metabolism: Pool, multipurpose conversions	Glycine cleavage, carrier of aminomethyl group	Met Orth 	glycine decarboxylation via glycine cleavage system
Yes	Yes	['NADP // WATER // GLT // PROTON // AMMONIUM // 2-KETOGLUTARATE // NADPH']	EG10372	gdhA	GdhA	characterized	characterized	0.0005340593	1.00	0.843	0.309	0.366	N	N	N	glutamate dehydrogenase, NADP-specific	Enzyme; Amino acid biosynthesis: Glutamate	Glutamate dehydrogenase, hexameric	Met Orth 	glutamate biosynthetic process
No	Yes		EG10374	ggt	&gamma;-glutamyltranspeptidase	characterized	characterized	2.3182059051E-06	0.59	0.785	0.251	0.257	N	N	N	gamma-glutamyltranspeptidase	Enzyme; Biosynthesis of cofactors, carriers: Thioredoxin, glutaredoxin, glutathione	Gamma-glutamyltranspeptidase, glutathione metabolism; Ntn hydrolase; autocatalytic processing into two subunits; periplasmic	Met Orth 	glutathione biosynthetic process
Can add reaction	Yes	['ADP-D-GLUCOSE // ADP // 1-4-alpha-D-Glucan']	EG10377	glgA	glycogen synthase	characterized	characterized	2.67661727039E-05	1.00	0.779	0.365	0.38	N	N	N	glycogen synthase	Enzyme; Macromolecule synthesis, modification: Polysaccharides - (cytoplasmic)	Glycogen synthase	Met Orth 	glycogen biosynthetic process
Can add reaction	Yes	['1-4-alpha-D-Glucan // Glycogens']	EG10378	glgB	1,4-&alpha;-glucan branching enzyme	characterized	characterized	6.36580744317E-05	1.00	0.746	0.284	0.318	N	N	N	1,4-alpha-glucan branching enzyme	Enzyme; Macromolecule synthesis, modification: Polysaccharides - (cytoplasmic)	1,4-alpha-glucan branching enzyme; glycogen branching enzyme	Met Orth 	glycogen biosynthetic process
Yes	Yes	['ATP // GLC-1-P // PROTON // ADP-D-GLUCOSE // PPI']	EG10379	glgC	GlgC	characterized	characterized	5.40875375413E-05	1.00	0.8	0.304	0.327	N	N	N	glucose-1-phosphate adenylyltransferase	Enzyme; Macromolecule synthesis, modification: Polysaccharides - (cytoplasmic)	Glucose-1-phosphate adenylyltransferase; ADP-glucose pyrophosphorylase	Met Orth 	glycogen biosynthetic process
Can add reaction	Yes	['Pi // Glycogens // CPD0-971 // GLC-1-P']	EG10380	glgP	GlgP	characterized	characterized	2.50325765598E-05	1.00	0.7	0.403	0.467	N	N	u	glycogen phosphorylase	Enzyme; Macromolecule synthesis, modification: Polysaccharides - (cytoplasmic)	Glycogen phosphorylase; alpha-glucan phosphorylase	Met Orth 	glycogen metabolic process
Can add reaction	Yes	['WATER // CPD0-971 // CPD0-1027 // MALTOTETRAOSE']	EG10381	glgX	glycogen phosphorylase-limit dextrin &alpha;-1,6-glucohydrolase	characterized	characterized	5.41314253605E-05	1.00	0.791	0.401	0.498	N	N	N	glycogen debranching enzyme	Enzyme; Macromolecule synthesis, modification: Polysaccharides - (cytoplasmic)	Glycogen debranching enzyme	Met Orth 	glycogen catabolic process
Yes	Yes	['GLN // FRUCTOSE-6P // D-GLUCOSAMINE-6-P // GLT']	EG10382	glmS	GlmS	characterized	characterized	0.000086678	1.00	N.A.	N.A.	N.A.	E	N	u	L-glutamine:D-fructose-6-phosphate aminotransferase	Enzyme; Central intermediary metabolism: Amino sugars	Glucosamine-6-phosphate synthase; glucosamine--fructose-6-phosphate aminotransferase; C-terminal F6P-binding domain has isomerase activity	Met Orth 	UDP-N-acetylglucosamine biosynthetic process
Yes	Yes	['ATP // GLT // AMMONIUM // PROTON // GLN // ADP // Pi']	EG10383	glnA	GlnA	characterized	characterized	0.0001054543	1.00	0.387	0.005	0.015	N	N	N	glutamine synthetase	Enzyme; Amino acid biosynthesis: Glutamine	Glutamine synthase	Met Orth 	ammonia assimilation cycle
Yes	Yes	['WATER // ATP // ADP // Pi // GLN // PROTON']	EG10386	glnH	glutamine ABC transporter - periplasmic binding protein	characterized	characterized	6.17283951571E-05	1.00	0.752	0.332	0.378	N	N	u	glutamine transporter subunit	Transport; Transport of small molecules: Amino acids, amines	Glutamine-binding protein, periplasmic	Met Orth 	glutamine biosynthetic process
Yes	Yes	['WATER // ATP // ADP // Pi // GLN // PROTON']	EG10388	glnP	glutamine ABC transporter - membrane subunit	characterized	characterized	2.47006525835E-05	1.00	0.742	0.227	0.175	E	N	N	glutamine transporter subunit	Transport; Transport of small molecules: Amino acids, amines	Glutamine transport system permease protein GlnP	Met Orth 	glutamine biosynthetic process
Yes	Yes	['WATER // ATP // ADP // Pi // GLN // PROTON']	EG10389	glnQ	glutamine ABC transporter - ATP binding subunit	characterized	characterized	2.39841141013E-05	1.00	0.713	0.307	0.324	N	N	N	glutamine transporter subunit	Transport; Transport of small molecules: Amino acids, amines	Glutamine high-affinity transport system, ATP-binding protein	Met Orth 	N/A
Yes	Yes	['ATP // GLN // GLN-tRNAs // Charged-GLN-tRNAs // PPI // AMP']	EG10390	glnS	glutaminyl-tRNA synthetase	characterized	characterized	8.92942044375E-05	1.00	N.A.	N.A.	N.A.	E	E	u	glutamyl-tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Glutamine--tRNA ligase	Met Orth 	glutaminyl-tRNA aminoacylation
Yes	Yes	['E- // PROTON // Menaquinones // Menaquinols', 'E- // PROTON // DIHYDROXY-ACETONE-PHOSPHATE // GLYCEROL-3P', 'GLYCEROL-3P // Menaquinones // Menaquinols // DIHYDROXY-ACETONE-PHOSPHATE']	EG10391	glpA	glycerol-3-phosphate dehydrogenase (anaerobic)	characterized	characterized	3.40458562943E-06	0.69	0.739	0.273	0.284	N	N	N	anaerobic sn-glycerol-3-phosphate dehydrogenase, large FAD/NAD(P)-binding subunit	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Anaerobic glycerol-3-phosphate dehydrogenase subunit A; FAD-binding	Met Orth 	glycerol-3-phosphate metabolic process
Yes	No	['E- // PROTON // Menaquinones // Menaquinols', 'E- // PROTON // DIHYDROXY-ACETONE-PHOSPHATE // GLYCEROL-3P', 'GLYCEROL-3P // Menaquinones // Menaquinols // DIHYDROXY-ACETONE-PHOSPHATE']	EG10392	glpB	glycerol-3-phosphate dehydrogenase (anaerobic)	characterized	characterized	3.21785061096E-06	0.69	0.781	0.282	0.276	N	N	N	anaerobic sn-glycerol-3-phosphate dehydrogenase membrane anchor subunit	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Anaerobic glycerol-3-phosphate dehydrogenase subunit B; FMN-binding	Met Orth 	glycerol catabolic process
Yes	No	['E- // PROTON // Menaquinones // Menaquinols', 'E- // PROTON // DIHYDROXY-ACETONE-PHOSPHATE // GLYCEROL-3P', 'GLYCEROL-3P // Menaquinones // Menaquinols // DIHYDROXY-ACETONE-PHOSPHATE']	EG10393	glpC	glycerol-3-phosphate dehydrogenase (anaerobic)	characterized	characterized	2.90237734606E-06	0.50	0.806	0.398	0.383	N	N	N	anaerobic sn-glycerol-3-phosphate dehydrogenase, C subunit, 4Fe-4S iron-sulfur cluster	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Anaerobic glycerol-3-phosphate dehydrogenase subunit C; 4Fe-4S iron-sulfur cluster and membrane anchor	Met Orth 	glycerol catabolic process
Yes	Yes	['E- // PROTON // Ubiquinones // Ubiquinols', 'E- // PROTON // DIHYDROXY-ACETONE-PHOSPHATE // GLYCEROL-3P', 'GLYCEROL-3P // Ubiquinones // Ubiquinols // DIHYDROXY-ACETONE-PHOSPHATE']	EG10394	glpD	GlpD	characterized	characterized	0.0002462436	1.00	0.73	0.421	0.675	N	N	N	sn-glycerol-3-phosphate dehydrogenase, aerobic, FAD/NAD(P)-binding	Enzyme; Energy metabolism, carbon: Aerobic respiration	sn-Glycerol-3-phosphate dehydrogenase (aerobic); membrane-anchored	Met Orth 	glycerol-3-phosphate catabolic process
Yes	Yes	['S2O3 // Red-Thioredoxin // Ox-Thioredoxin // SO3 // HS // PROTON', 'HCN // S2O3 // HSCN // SO3 // PROTON']	EG10395	glpE	GlpE	characterized	characterized	2.56457950786E-05	1.00	0.765	0.309	0.293	X	N	u	thiosulfate:cyanide sulfurtransferase (rhodanese)	Phenotype; Energy metabolism, carbon: Anaerobic respiration	Thiosulfate:cyanide sulfurtransferase (rhodanese); in glpEGR operon, induced by glycerol	Met Orth 	N/A
Yes	Yes	['Sugar-alcohols', 'CPD0-2039', 'CPD-763', 'CPD0-1551', 'GLYCEROL', 'GLY', 'UREA']	EG10396	glpF	GlpF	characterized	characterized	2.45131523903E-05	1.00	0.604	0.446	0.44	N	N	N	glycerol facilitator	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	Aquaglyceroporin; glycerol facilitator	Met Orth 	glycerol transport
Yes	Yes	['ATP // GLYCEROL // PROTON // GLYCEROL-3P // ADP']	EG10398	glpK	GlpK	characterized	characterized	7.45492095192E-05	1.00	0.771	0.283	0.409	N	N	N	glycerol kinase	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Glycerol kinase	Met Orth 	glycerol-3-phosphate metabolic process
Yes	Yes	['WATER // Glycerophosphodiesters // Alcohols // GLYCEROL-3P // PROTON', 'WATER // GLYCEROPHOSPHOGLYCEROL // GLYCEROL // GLYCEROL-3P // PROTON']	EG10399	glpQ	GlpQ	characterized	characterized	2.01162785895E-05	1.00	0.764	0.327	0.329	N	N	u	periplasmic glycerophosphodiester phosphodiesterase	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Glycerophosphodiester phosphodiesterase, periplasmic; tetrameric	Met Orth 	N/A
Can add reaction	Yes	['Pi // GLYCEROL-3P']	EG10401	glpT	glycerol-3-phosphate phosphate antiporter	characterized	characterized	1.03695142314E-05	1.00	0.834	0.304	0.342	N	N	N	sn-glycerol-3-phosphate transporter	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	sn-Glycerol-3-phosphate permease; fosfomycin sensitivity	Met Orth 	glycerol transport
Yes	Yes	['WATER // ACETYL-COA // OXALACETIC_ACID // PROTON // CIT // CO-A']	EG10402	gltA	citrate synthase monomer	characterized	characterized	0.0004802755	1.00	0.841	0.014	0.03	N	N	N	citrate synthase	Enzyme; Energy metabolism, carbon: TCA cycle	Citrate synthase; hexameric	Met Orth 	N/A
Yes	Yes	['NADP // WATER // GLT // PROTON // AMMONIUM // 2-KETOGLUTARATE // NADPH', 'NADP // GLT // PROTON // GLN // 2-KETOGLUTARATE // NADPH', 'WATER // GLN // GLT // AMMONIUM']	EG10403	gltB	glutamate synthase	characterized	characterized	0.0003310385	1.00	0.757	0.358	0.364	N	N	u	glutamate synthase, large subunit	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Glutamate synthase, large subunit; autoprotease	Met Orth 	L-glutamate biosynthetic process
Yes	No	['NADP // WATER // GLT // PROTON // AMMONIUM // 2-KETOGLUTARATE // NADPH', 'NADP // GLT // PROTON // GLN // 2-KETOGLUTARATE // NADPH', 'WATER // GLN // GLT // AMMONIUM']	EG10404	gltD	glutamate synthase	characterized	characterized	0.0002296367	1.00	0.816	0.29	0.285	N	N	N	glutamate synthase, 4Fe-4S protein, small subunit	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Glutamate synthase, small subunit	Met Orth 	L-glutamate biosynthetic process
Yes	Yes	['PROTON // L-ASPARTATE', 'PROTON // GLT']	EG10405	gltP	glutamate / aspartate H<sup>+</sup> symporter GltP	characterized	characterized	3.20562210675E-06	0.53	0.606	0.278	0.285	N	N	N	glutamate/aspartate:proton symporter	Transport; Transport of small molecules: Amino acids, amines	Proton-glutamate-aspartate transport protein	Met Orth 	N/A
Can add catalyst	Yes	['NA+ // GLT']	EG10406	gltS	glutamate sodium symporter	characterized	characterized	0.000001506	0.31	0.758	0.401	0.432	N	N	N	glutamate transporter	Transport; Transport of small molecules: Amino acids, amines	Glutamate permease; Na+/glutamate symporter	Met Orth 	L-glutamate transport
Yes	Yes	['ATP // GLT // GLT-tRNAs // Charged-GLT-tRNAs // PPI // AMP']	EG10407	gltX	glutamyl-tRNA synthetase	characterized	characterized	0.0001095317	1.00	N.A.	N.A.	N.A.	E	E	u	glutamyl-tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Glutamate--tRNA ligase	Met Orth 	glutamyl-tRNA aminoacylation
Yes	Yes	['WATER // 5-10-METHENYL-THF-GLU-N // N5-Formyl-THF-Glu-N // PROTON', 'PYRIDOXAL_PHOSPHATE // D-ALANINE // PYRUVATE // PYRIDOXAMINE-5P', 'ALLO-THR // ACETALD // GLY', 'L-ALLO-THREONINE // GLY // ACETALD', 'THF-GLU-N // SER // GLY // METHYLENE-THF-GLU-N // WATER']	EG10408	glyA	GlyA	characterized	characterized	0.00044327	1.00	0.668	0.002	0.009	E	N	u	serine hydroxymethyltransferase	Enzyme; Amino acid biosynthesis: Glycine	Serine hydroxymethyltransferase; binds Zn(II)	Met Orth 	glycine biosynthetic process from serine
Yes	Yes	['ATP // GLY // GLY-tRNAs // Charged-GLY-tRNAs // PPI // AMP']	EG10409	glyQ	glycyl-tRNA synthetase	characterized	characterized	0.0001353229	1.00	N.A.	N.A.	N.A.	E	E	N	glycine tRNA synthetase, alpha subunit	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Glycine--tRNA ligase, alpha-subunit	Met Orth 	glycyl-tRNA aminoacylation
Yes	Yes	['ATP // GLY // GLY-tRNAs // Charged-GLY-tRNAs // PPI // AMP']	EG10410	glyS	glycyl-tRNA synthetase	characterized	characterized	9.50555991849E-05	1.00	0.738	0.31	0.336	E	E	u	glycine tRNA synthetase, beta subunit	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Glycine--tRNA ligase, beta-subunit	Met Orth 	arginyl-tRNA aminoacylation
Yes	Yes	['NADP // CPD-2961 // RIBULOSE-5P // CARBON-DIOXIDE // NADPH']	EG10411	gnd	Gnd	characterized	characterized	0.0001165114	1.00	0.781	0.251	0.282	N	N	u	6-phosphogluconate dehydrogenase, decarboxylating	Enzyme; Energy metabolism, carbon: Oxidative branch, pentose pathway	6-phosphogluconate dehydrogenase, decarboxylating	Met Orth 	pentose-phosphate shunt oxidative branch
Yes	No	['NADP // GLUTATHIONE // OXIDIZED-GLUTATHIONE // NADPH // PROTON']	EG10412	gor	glutathione reductase (NADPH)	characterized	characterized	1.20587407329E-05	0.97	0.423	0.346	0.498	E	N	N	glutathione oxidoreductase	Enzyme; Biosynthesis of cofactors, carriers: Thioredoxin, glutaredoxin, glutathione	Glutathione reductase, NADP+, FAD-binding	Met Orth 	glutathione metabolic process
Yes	No	['GDP-TP // WATER // PROTON // Pi // GUANOSINE-5DP-3DP']	EG10413	gpp	Gpp	characterized	characterized	3.53488389567E-05	1.00	0.793	0.274	0.373	N	u	u	guanosine pentaphosphatase/exopolyphosphatase	Enzyme; Global regulatory functions	Guanosine pentaphosphatase and exopolyphosphatase	Met Orth 	guanosine pentaphosphate catabolic process
Yes	Yes	['IMP // PPI // PRPP // HYPOXANTHINE', 'PPI // GMP // GUANINE // PRPP', 'PPI // XANTHOSINE-5-PHOSPHATE // XANTHINE // PRPP']	EG10414	gpt	Gpt	characterized	characterized	2.064385511E-05	1.00	0.785	0.402	0.581	?	N	N	xanthine phosphoribosyltransferase; xanthine-guanine phosphoribosyltransferase	Enzyme; Salvage of nucleosides and nucleotides	Xanthine phosphoribosyltransferase; xanthine-guanine phosphoribosyltransferase	Met Orth 	XMP salvage
No	Yes		EG10417	grxA	reduced glutaredoxin 1	characterized	characterized	6.3923867853E-06	0.97	0.805	0.208	0.221	?	N	u	glutaredoxin 1, redox coenzyme for ribonucleotide reductase (RNR1a)	Carrier; Biosynthesis of cofactors, carriers: Thioredoxin, glutaredoxin, glutathione	Glutaredoxin 1	Met Orth 	glutaredoxin biosynthetic process
Yes	Yes	['ATP // GLT // CYS // PROTON // L-GAMMA-GLUTAMYLCYSTEINE // Pi // ADP']	EG10418	gshA	&gamma;-glutamate-cysteine ligase	characterized	characterized	6.46087758561E-05	1.00	0.787	0.401	0.496	N	N	u	glutamate-cysteine ligase	Enzyme; Biosynthesis of cofactors, carriers: Thioredoxin, glutaredoxin, glutathione	Glutamate--cysteine ligase; gamma-Glutamylcysteine synthase	Met Orth 	cellular response to arsenic-containing substance
Yes	Yes	['ATP // L-GAMMA-GLUTAMYLCYSTEINE // GLY // PROTON // GLUTATHIONE // Pi // ADP']	EG10419	gshB	glutathione synthetase monomer	characterized	characterized	3.94200836149E-05	1.00	0.685	0.304	0.385	E	N	N	glutathione synthetase	Enzyme; Biosynthesis of cofactors, carriers: Thioredoxin, glutaredoxin, glutathione	Glutathione synthase; homotetrameric	Met Orth 	glutathione biosynthetic process
Yes	Yes	['WATER // GLN // GLT // AMMONIUM', 'ATP // XANTHOSINE-5-PHOSPHATE // GLN // WATER // PROTON // GLT // GMP // PPI // AMP', 'ATP // AMMONIUM // XANTHOSINE-5-PHOSPHATE // GMP // AMP // PPI // PROTON']	EG10420	guaA	GMP synthetase	characterized	characterized	0.0001682864	1.00	0.19	0.001	0	N	N	u	GMP synthetase (glutamine aminotransferase)	Enzyme; Purine ribonucleotide biosynthesis	GMP synthase	Met Orth 	GMP biosynthetic process
Yes	Yes	['IMP // NAD // WATER // PROTON // NADH // XANTHOSINE-5-PHOSPHATE']	EG10421	guaB	GuaB	characterized	characterized	4.2668891542E-05	1.00	0.278	0.005	0.02	N	N	N	IMP dehydrogenase	Enzyme; Purine ribonucleotide biosynthesis	Inosine-5'-monophosphate (IMP) dehydrogenase	Met Orth 	GMP biosynthetic process
Yes	Yes	['NADP // IMP // AMMONIUM // PROTON // GMP // NADPH']	EG10422	guaC	GuaC	characterized	characterized	2.91868580705E-05	1.00	0.801	0.214	0.228	N	N	u	GMP reductase	Enzyme; Purine ribonucleotide biosynthesis	GMP reductase	Met Orth 	purine ribonucleotide interconversion
Yes	Yes	['5-AMINO-LEVULINATE // PROTON // WATER // PORPHOBILINOGEN']	EG10428	hemB	porphobilinogen synthase	characterized	characterized	1.98945543443E-05	1.00	N.A.	N.A.	N.A.	E	N	u	5-aminolevulinate dehydratase (porphobilinogen synthase)	Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin	5-Aminolevulinate dehydratase; also known as porphobilinogen synthase; binds Zn(II)	Met Orth 	protoporphyrinogen IX biosynthetic process
Yes	Yes	['PORPHOBILINOGEN // WATER // AMMONIUM // HYDROXYMETHYLBILANE']	EG10429	hemC	hydroxymethylbilane synthase	characterized	characterized	1.72731880977E-05	1.00	N.A.	N.A.	N.A.	E	u	u	hydroxymethylbilane synthase	Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin	Porphobilinogen deaminase; neomycin sensitivity	Met Orth 	peptidyl-pyrromethane cofactor linkage
Yes	Yes	['HYDROXYMETHYLBILANE // WATER // UROPORPHYRINOGEN-III']	EG10430	hemD	uroporphyrinogen III synthase	characterized	characterized	1.7268913076E-05	1.00	N.A.	N.A.	N.A.	E	u	u	uroporphyrinogen III synthase	Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin	Uroporphyrinogen III synthase; neomycin sensitivity	Met Orth 	protoporphyrinogen IX biosynthetic process
Can add catalyst	Yes	['PROTON // PROTOHEME // PROTOPORPHYRIN_IX // FE+2']	EG10431	hemH	ferrochelatase	characterized	characterized	5.12214961032E-06	0.66	N.A.	N.A.	N.A.	E	N	u	ferrochelatase	Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin	Ferrochelatase	Met Orth 	response to light stimulus
Yes	Yes	['GLUTAMATE-1-SEMIALDEHYDE // 5-AMINO-LEVULINATE']	EG10432	hemL	glutamate-1-semialdehyde aminotransferase	characterized	characterized	2.31967391458E-05	1.00	N.A.	N.A.	N.A.	E	N	u	glutamate-1-semialdehyde aminotransferase (aminomutase)	Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin	Glutamate-1-semialdehyde aminomutase	Met Orth 	protoporphyrinogen IX biosynthetic process
No	Yes		EG10433	hemX	conserved protein	unknown	unknown	3.61205050938E-05	1.00	0.809	0.294	0.329	N	u	N	putative uroporphyrinogen III methyltransferase	Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin	Uroporphyrinogen III methyltransferase	Met Orth 	cobalamin biosynthetic process
Yes	Yes	['PHOSPHORIBOSYL-FORMIMINO-AICAR-P // PHOSPHORIBULOSYL-FORMIMINO-AICAR-P']	EG10444	hisA	N-(5-phospho-L-ribosyl-formimino)-5-amino-1-(5-phosphoribosyl)-4-imidazolecarboxamide isomerase	characterized	characterized	1.50377006389E-05	1.00	0.679	0.014	0.022	N	N	u	N-(5'-phospho-L-ribosyl-formimino)-5-amino-1-(5'-phosphoribosyl)-4-imidazolecarboxamide isomerase	Enzyme; Amino acid biosynthesis: Histidine	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase; 1-(5'-phosphoribosyl)-5-[(5'-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	Met Orth 	N/A
