Downloaded smart table from ecocyc for all compounds with added column for common name
"Compound"	"Common-Name"
CPD-13245	"8-anilinonaphthalenesulfonate"
CPD0-2284	"1,6-anhydrous-N-Acetylmuramyl-tripeptide"
CPD0-2422	"sodium acetate"
CPD-536	"glycerol 2-phosphate"
NH42SO4	"ammonium sulfate"
CPD-10776	"(2S,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran"
CPD0-1693	"iron(III) chloride"
CPD0-2215	"glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate"
CPD0-2508	"ammonium heptamolybdate"
CPD-3735	"dithiophosphate"
KCL	"potassium chloride"
CHLOROACETALDEHYDE	"chloroacetaldehyde"
CPD0-1589	"calcium chloride"
CPD0-2140	"1-acyl-sn-glycero-3-phosphoglycerol (n-C18:0)"
CPD0-2418	"iron(II) sulfate heptahydrate"
CPD-334	"2,3-dioxo-L-gulonate"
CPD-18393	"phosphatidylglycerol (1-palmitoyl, 2-myristoyl)"
APS	"adenosine 5'-phosphosulfate"
CPD-12822	"phosphatidylglycerol (dioctadecanoyl, n-C18:0)"
CPD0-2077	"&alpha;-methyl-glutamate"
CPD-8260	"phosphatidylglycerol (dihexadecanoyl, n-C16:0)"
CPD-20970	"tellurate"
CPD0-2330	"phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)"
8-HYDROXYQUINOLINE	"8-hydroxyquinoline"
CPD0-2386	"iron(II) sulfate"
CPD0-2039	"antimonous acid"
CPD0-2394	"manganese chloride"
CPD-183	"gallate"
CPD0-2434	"sodium citrate trihydrate"
5-METHYLTHIOADENOSINE	"<i>S</i>-methyl-5'-thioadenosine"
CPD-18501	"zinc hydrogenphosphate"
CPD0-1941	"4-aza-DL-leucine"
BH4NA	"sodium tetrahydridoborate"
CPD-14447	"(2Z)-2-hydroxypenta-2,4-dienoate"
CPD0-2505	"manganese(II) sulfate pentahydrate"
4-AMINO-4-DEOXYCHORISMATE	"4-amino-4-deoxychorismate"
CPD0-2390	"magnesium sulfate"
CPD0-1885	"2-hydroxyethyldisulfide"
CPD-18399	"phosphatidylglycerolphosphate (1-<i>cis</i>-vaccenoyl, 2-palmitoleoyl)"
CPD-13343	"vinylglycine"
CPD-18360	"phosphatidylglycerolphosphate (1-palmitoyl, 2-cis-vaccenoyl)"
2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE	"2-C-methyl-D-erythritol-2,4-cyclodiphosphate"
CPD-12820	"phosphatidylglycerolphosphate (1,2-di-stearoyl)"
CPD0-1719	"TsaD degradation products"
CPD-18400	"phosphatidylglycerolphosphate (1,2-di-<i>cis</i>-vaccenoyl)"
2-ALPHA-HYDROXYETHYL-THPP	"2-(&alpha;-hydroxyethyl)thiamine diphosphate"
CPD-18397	"phosphatidylglycerolphosphate (1-myristoyl, 2-palmitoleoyl)"
CPD0-1682	"dioxane"
CPD-12821	"phosphatidylglycerolphosphate (1,2-di-palmitoyl)"
CPD0-1647	"8-aminoethyl-2,6-anhydro-3,8-dideoxy-D-glycero-D-talo-octonate"
CPD0-2230	"phosphatidylglycerolphosphate (1,2-di-palmitoleoyl)"
S2O4	"dithionite"
CPD-18398	"phosphatidylglycerolphosphate (1-palmitoyl, 2-myristoyl)"
CPD0-1607	"isopropyl 6-O-acetyl-&beta;-D-thiogalactopyranoside"
CPD-18359	"phosphatidylglycerolphosphate (1-palmitoyl, 2-palmitoleoyl)"
PHTHALATE	"phthalate"
CPD0-2652	"phosphatidylglycerolphosphate (1-palmitoyl, 2-oleoyl)"
CPD0-1572	"L-tetrahydro-2-furoic acid"
CPD0-2427	"ammonium dihydrogen phosphate"
OROTIDINE-5-PHOSPHATE	"orotidine 5'-phosphate"
CPD0-1520	"muramate"
CPD0-1694	"iron dichloride"
MONOMETHYL-ESTER-OF-TRANS-ACONITATE	"(E)-3-(methoxycarbonyl)pent-2-enedioate"
CPD0-1485	"7,8-diketopelargonate"
MGCL2	"magnesium dichloride"
KYNURENATE	"kynurenate"
CPD0-1440	"cis-cycloglutamate"
CPD0-2419	"calcium nitrate tetrahydrate"
HYDROXYLAMINE	"hydroxylamine"
CPD0-1355	"dichlorocadmium"
CPD0-1402	"5'-[(3-aminopropyl)-amino]-5'-deoxyadenosine"
CPD0-1592	"barium chloride"
FORMAMIDE	"formamide"
CPD0-1576	"N10-(bromoacetyl)-5,8-dideazafolate"
CPD0-1330	"1-phospho-N-acetylmuramoyl-L-alanyl-D-glutamate"
CPD0-2622	"ammonium sodium hydrogenphosphate tetrahydrate"
DIMETHYLARSINATE	"cacodylate"
CPD1G-159	"monobromobimane"
CPD0-1248	"D,L-&alpha;-methylphosphinothricin"
CPD0-2398	"ammonium molybdate"
DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE	"(<i>S</i>)-2,3,4,5-tetrahydrodipicolinate"
CPD0-1326	"p-(bromoacetamido)phenyl uridyl pyrophosphate"
CPD0-1187	"adenosine-2',5'-bisphosphate"
CPD0-1422	"dipalmitoyl phosphatidate"
CPD0-955	"2,3-dihydroxy-5-methyl-1,4-benzoquinone"
CPD0-1088	"CHAPS"
CPD0-2659	"1-(5-((4-(3-(trifluoromethyl) phenyl)piperazin-1-yl) sulfonyl) indolin-1-yl) ethan-1-one"
CHOLINE	"choline"
CPD-9925	"1,4-dihydroxy-2-naphthoyl-CoA"
CPD0-2530	"pentaerythritol tetranitrate"
CPD-543	"choline sulfate"
CPD-884	"6-aminohexanoate"
CPD0-2466	"3,4-dihydroxypent-3-en-2-one 5-phosphate"
BETAINE-ALDEHYDE-HYDRATE	"betaine aldehyde hydrate"
CPD0-2611	"meropenem"
CPD-7031	"3-methylbutanal"
CPD0-2355	"dioctylamine"
BETAINE_ALDEHYDE	"betaine aldehyde"
CPD-22376	"ertapenem"
CPD-6041	"methotrexate"
CPD-12797	"2,6-dimethoxyphenol"
CPD-21342	"cetyldimethlethylammonium"
CPD-9231	"imipenem"
CPD0-2276	"glycine ethyl ester"
CPD0-2600	"doripenem"
CPD-510	"&alpha;-D-glucuronate 1-phosphate"
CPD-12818	"1,2-dioctadecanoyl-phosphatidyl-ethanolamine"
CPD-10773	"(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one"
CPD-12819	"1,2-dipalmitoyl-phosphatidyl-ethanolamine"
CPD0-2197	"acyl phosphatidylglycerol (n-C16:0)"
CPD-17087	"1,2-dimyristoyl-phosphatidyl-ethanolamine"
CPD-3703	"triethyl phosphate"
DOPAMINE	"dopamine"
CARBOXYETHYL-3-5-CYCLOHEXADIENE-1-2-DIOL	"3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate"
CPD0-2102	"succinate semialdehyde-thiamine diphosphate"
CATECHOL	"catechol"
CPD-29	"<i>p</i>-chloromercuribenzoate"
AMINOMALONATE	"aminomalonate"
CPD-111	"3-methylcatechol"
CPD0-2070	"cefadroxil"
CPD-20862	"hexadecanesulfonyl fluoride"
L-EPINEPHRINE	"(R)-adrenaline"
6S-6-FLUORO-EPSP	"(6S)-6-fluoro-5-enolpyruvoylshikimate 3-phosphate"
CPD0-2023	"&gamma;-thiomethyl glutamate"
CPD-782	"(3,4-dihydroxyphenyl)acetate"
CPD-1772	"2-aminoacetaldehyde"
5-HYDROXY-PIPECOLATE	"5-hydroxy-pipecolate"
3-ETHYLCATECHOL	"3-ethylcatechol"
CPD0-1938	"ethidium"
CPD-14442	"(2Z)-2,4-dihydroxypent-2-enoate"
3-P-HYDROXYPYRUVATE	"3-phosphooxypyruvate"
CPD0-1815	"1,3-dioctanoylglycerol"
CPD-13314	"dihydrocurcumin"
23-DIMERCAPTOPROPAN-1-OL	"2,3-dimercaptopropan-1-ol"
CPD0-1712	"5-mercuriocytidine"
15-DIDEOXY-15-IMINO-D-GALACTITOL	"1,5-dideoxy-1,5-imino-D-galactitol"
PHENYLETHYLAMINE	"2-phenylethylamine"
CPD0-1675	"butyrylcholine"
TETRAHYDROTHIOPHENE	"tetrahydrothiophene"
TYRAMINE	"tyramine"
CPD0-1641	"N-&alpha;-acetyl-DL-norvaline"
S-ACETYLDIHYDROLIPOAMIDE	"<i>S</i>-acetyldihydrolipoamide"
CPD0-1601	"6-azauridine diphosphate"
PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE	"5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate"
CPD0-1557	"L-dihydrophenylalanine"
O-PHENANTHROLINE	"<i>o</i>-phenanthroline"
CPD0-1502	"3-chlorodiaminopimelate"
METHYLAMINE	"methylamine"
CPD0-1482	"S-adenosyl-L-ethionine"
ITACONATE	"itaconate"
CPD0-1436	"fumagillin"
HMP	"4-amino-2-methyl-5-pyrimidinemethanol"
CPD0-1398	"methylglyoxalbis(guanylhydrazone)"
ETHYLACETIMIDATE	"ethylacetimidate"
CPD0-1325	"P1-uridyl-P2-methyl diphosphate"
CPD-15818	"<i>aldehydo</i>-D-ribose"
DIHYDROXYPENTANEDIONE	"autoinducer 2"
CPD-18380	"1-myristoyl-2-palmitoleoyl-<i>sn</i>-glycerol 3-phosphate"
UDP-L-ARA4-FORMYL-N	"UDP-4-deoxy-4-formamido-&beta;-L-arabinopyranose"
CPD-18350	"1-palmitoyl-2-palmitoleoyl-<i>sn</i>-glycerol 3-phosphate"
CPD0-1240	"monofluoromethylornithine"
CPD-18351	"1-cis-vaccenoyl-2-palmitoleoyl-<i>sn</i>-glycerol-3-phosphate"
DE-O-K-GLUCONATE	"3-dehydro-2-deoxy-D-gluconate"
CPD0-1156	"2-methyl-1,4-benzoquinone"
CPD0-919	"IDP-ribose"
CPD0-1061	"2,4,6-trimethylphenylglyoxal"
CPD0-2596	"<i>N</i>-pantoylglycyl-2-aminoethanethiol"
CPD-9608	"lawsone"
CPD0-2523	"2,4-dioxo-4-phenylbutanoate"
CPD0-2514	"5-(glutathion-<i>S</i>-yl)-1,2,4-trihydroxybenzene"
CPD-8534	"DNA without lesion"
CPD0-2462	"(S)-4-amino-4,5-dihydro-2-furancarboxylate"
CPD-69	"cyanate"
CPD0-2339	"(<i>Z</i>)-3-aminoacrylate"
CPD0-1425	"1,2-dimyristoyl-<i>sn</i>-glycerol 3-phosphate"
CPD-58	"octopamine"
CPD-18390	"1-palmitoyl-2-myristoyl phosphatidate"
CPD-12520	"2'-deoxyuridine 5'-&alpha;,&beta;-imido-diphosphate"
CPD0-1423	"1-stearoyl-2-stearoyl-<i>sn</i>-glycerol 3-phosphate"
CPD0-2270	"two disacharide linked murein units, tetrapeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)"
CPD-473	"4,5-dioxopentanoate"
CPD-10324	"amiloride"
CPD0-2192	"acyl phosphatidylglycerol (n-C14:0)"
CPD-3623	"sebacate"
CANAVANINE	"L-canavanine"
CPD0-2094	"<i>cis</i>-6,7-dihydro-6-7-dimethylpterin"
CPD-253	"4,5-<i>seco</i>-dopa"
AMINO-ACETONE	"aminoacetone"
CPD0-2232	"(S)-3-hydroxyhexadecanoyl-CoA"
CPD0-2066	"cefamandole"
CPD-19571	"dibenziodolium"
L-GLYCERALDEHYDE	"L-glyceraldehyde"
6-SELENO-OCTANOATE	"6-seleno-octanoate"
CPD-148	"octane"
CPD0-2020	"4-amino-2-trifluoromethyl 5-hydroxymethylpyrimidine pyrophosphate"
CPD0-2171	"(S)-3-hydroxytetradecanoyl-CoA"
CPD-173	"salicyl alcohol"
5-AMINOPENTANOATE	"5-aminopentanoate"
CPD-9286	"heptane"
CPD0-1920	"As<sub>2</sub>SbH<sub>3</sub>O<sub>6</sub>"
CPD-13992	"2,2'-disulfonyl azobenzene"
CPD-9288	"hexane"
3-HYDROXYPHENYLACETYL-COA	"3-hydroxyphenylacetyl-CoA"
CPD0-181	"<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide"
CH4	"methane"
2-MERCAPTOETHANOL	"2-mercaptoethanol"
CPD0-1701	"aminoethylserine"
1-O-ALKYL-2-ACETYL-SN-GLYCEROL	"1-<i>O</i>-alkyl-2-acetyl-<i>sn</i>-glycerol"
CPD0-1663	"&alpha;-difluoromethylarginine"
CPD0-2244	"(<i>S</i>)-3-hydroxydecanoyl-CoA"
TARTRATE	"L-tartrate"
CPD0-1631	"A9145C"
R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE	"(R)-4'-phosphopantothenoyl-L-cysteine"
CPD0-1591	"5-[[4-methoxy-3-(phenylmethoxy)phenyl]methyl]-2,4-pyrimidinediamine"
CPD-11643	"two adjacent thymidines in DNA"
PHENYLGLYOXAL	"phenylglyoxal"
CPD0-1552	"Bz<sub>2</sub>ATP"
CPD-20735	"two adjacent 2'-deoxycytidines in DNA"
N2-SUCCINYLGLUTAMATE	"N<SUP>2</SUP>-succinylglutamate"
CPD0-1499	"N-hydroxy DAP"
MONOMER0-4342	"a [prolipoprotein]-<i>S</i>-1,2-diacyl-<i>sn</i>-glyceryl-L-cysteine"
LIPOYL-AMP	"(lipoyl)adenylate"
CPD0-1474	"5-methyl-tetrahydropteroyl-&alpha;-glutamylglutamate"
ISOBUTANOL	"isobutanol"
CPD0-1430	"2-phenylacetamidine"
HISTAMINE	"histamine"
CPD0-1392	"cisplatin"
ETHANOL-AMINE	"ethanolamine"
CPD0-1306	"3-decynoyl-<i>N</i>-acetylcysteamine"
DIHYDROLIPOAMIDE	"dihydrolipoamide"
THIOGLYCOLATE	"thioglycolate"
CPD0-1232	"<i>N</i>,<i>N</i>-dimethylacetamide"
D-TARTRATE	"D-tartrate"
CPD-19169	"3-oxo-(9Z)-octadecenoyl-CoA"
CPD0-1148	"<i>N,N</i>-dimethyl-1,4-phenylenediamine"
2-HYDROXY-2-METHYLPROPANENITRILE	"2-hydroxy-2-methylpropanenitrile"
CPD0-903	"N-ethylsuccinimide"
CPD-19158	"3-oxo-(9Z)-hexadecenoyl-CoA"
CPD0-1055	"ppGp"
CPD0-2577	"7-nitrocoumarin-3-carboxylate"
CPD-10284	"3-oxomyristoyl-CoA"
CPD-9383	"glycine methyl ester"
OCTAPRENYL-METHYL-METHOXY-BENZQ	"6-methoxy-3-methyl-2-<i>all-trans</i>-octaprenyl-1,4-benzoquinol"
CPD-9226	"dicloxacillin"
CPD-19160	"3-oxo-(11Z)-octadecenoyl-CoA"
CPD0-2495	"5-methylcytidine"
CPD-7988	"Triton X-100"
CPD-15244	"3-oxo-(5Z)-tetradecenoyl-CoA"
CPD0-2399	"<i>N</i>-tris(hydroxymethyl)methylglycine"
CPD-66	"2-hydroxy-3-oxosuccinate"
3-OXOPALMITOYL-COA	"3-oxopalmitoyl-CoA"
CPD0-2332	"2,3-dihydroxybenzohydroxamoyl adenylate"
CPD-5602	"<i>N</i>-dimethylethanolamine"
CPD-19167	"3-oxo-(7Z)-hexadecenoyl-CoA"
CPD-12010	"1,2-butanediol"
CPD0-2250	"dHAPTP"
CPD-19157	"3-oxo-(7Z)-tetradecenoyl-CoA"
CPD-4501	"miconazole"
CPD-10129	"3'-deoxyadenosine"
CPD-10260	"3-oxooctadecanoyl-CoA"
CPD0-2177	"2-acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)"
CPD-3572	"mono-methyl hydrogen succinate"
CPD0-2106	"3-oxooctanoyl-CoA"
BOROHYDRIDE	"borohydride"
CPD0-2088	"picolinic acid-N-oxide"
CPD0-2123	"3-oxodecanoyl-CoA"
CPD-22332	"(<i>Z</i>)-2-methylaminoacrylate"
ALPHA-NAPHTHYL-ACETATE	"&alpha;-naphthyl acetate"
CPD-19153	"3-oxo-(5Z)-dodecenoyl-CoA"
CPD0-2058	"hydroxyporphobilinogen"
CPD-19236	"&alpha;-D-ribose-1-(2-<i>N</i>-acetamidomethylphosphonate) 5-phosphate"
K-HEXANOYL-COA	"3-oxohexanoyl-CoA"
5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE	"5-amino-1-(5-phospho-&beta;-D-ribosyl)imidazole"
CPD0-2013	"adenosine-N-oxide"
CPD0-2105	"3-oxododecanoyl-CoA"
CPD-15893	"reduced methyl viologen"
OCTAPRENYL-METHOXY-BENZOQUINONE	"2-methoxy-6-<i>all trans</i>-octaprenyl-1,4-benzoquinol"
4-PHOSPHONOOXY-THREONINE	"4-phosphooxy-L-threonine"
ACETOACETYL-COA	"acetoacetyl-CoA"
CPD0-1916	"L-alanyl-L-&alpha;-thiophenylglycine"
CPD-13913	"2-carboxy-L-xylonolactone"
3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P	"3-deoxy-D-arabino-heptulosonate 7-phosphate"
CPD0-1807	"2,3-dioctanoylglyceramide"
2-DEOXYGLUCOSE-6-PHOSPHATE	"2-deoxyglucose 6-phosphate"
CPD0-1691	"O-[L-norvalyl-5]-isourea"
1-AMINO-PROPAN-2-OL	"(<i>R</i>)-1-aminopropan-2-ol"
CPD0-1660	"&alpha; -ethynylagmatine"
SS-DIMETHYL-BETA-PROPIOTHETIN	"dimethylsulfoniopropanoate"
CPD0-1618	"aurovertin B"
PYROGALLOL	"pyrogallol"
CPD0-1587	"2,4-diamino-6-methyl-5,3'-(2-trifluoromethylphenoxy)prop-1'-yloxypyrimidine"
PANTOTHENATE	"(<i>R</i>)-pantothenate"
CPD0-1536	"(2R,3S,6S)-2,6-diamino-3-hydroxy-diaminopimelate"
N-QUINOLIN-8-YLMETHANESULFONAMI	"<i>N</i>-(quinolin-8-yl)methanesulfonamide"
CPD0-1493	"3-deaza-GMP"
L-RHAMNONATE	"L-rhamnonate"
CPD0-1468	"dXMP"
IMIDAZOLE-LACTATE	"imidazole-lactate"
CPD0-1413	"levallorphan"
GLUTARATE	"glutarate"
CPD0-1358	"actinonin"
EGTA	"EGTA"
CPD0-1281	"lipid IV<SUB>B</SUB>"
DIETHYLDITHIOCARBAMATE	"diethyldithiocarbamate"
THIABENDAZOLE	"thiabendazole"
CPD0-1229	"aluminium fluoride"
D-BETA-D-HEPTOSE-17-DIPHOSPHATE	"D-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose 1,7-bisphosphate"
CPD0-1138	"tubercidine 5'-monophosphate"
CPD0-882	"1,6-anhydro-<i>N</i>-acetyl-&beta;-muramate"
CPD0-1045	"formycin B"
CPD0-2565	"5-deazaflavin"
CPD-9117	"phenyl-&beta;-galactoside"
CPD0-2480	"&alpha;-D-ribose-1-methylphosphonate 5-phosphate"
CPD-7679	"tetramethylammonium"
CPD0-2376	"SN-38G"
CPD-628	"3-oxalomalate"
CPD0-2296	"three disacharide linked murein units (pentapeptide crosslinked tetrapeptide (A2pm->D-ala) tetrapeptide corsslinked tetrapeptide (A2pm->D-ala)) (middle of chain)"
CPD-558	"pimeloyl-CoA"
CPD-11636	"L-alanine amide"
CPD0-2219	"galactofuranosyl-glucosyl-O-acetyl-rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate"
CPD-4211	"prenyl diphosphate"
COFORMYCIN	"coformycin"
CPD0-2155	"N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide"
CPD-3563	"Tween 80"
BIO-5-AMP	"biotinyl-5'-adenylate"
CPD0-2085	"4-picoline N-oxide"
CPD-21702	"3-hydroxypropanal dimer"
ACETYL-P	"acetyl phosphate"
CPD0-2053	"ethylpyruvate"
CPD-19111	"1-(6-sulfo-&alpha;-D-quinovosyl)glycerol"
5-P-BETA-D-RIBOSYL-AMINE	"5-phospho-&beta;-D-ribosylamine"
CPD0-1953	"3-chloro-1,2-propanediol"
CPD-15424	"(<i>O</i>-carbamoyl)adenylate"
4-HYDROXYPHENYLACETATE	"(4-hydroxyphenyl)acetate"
CPD0-1900	"DL-p-phenylalanine"
CPD-13907	"dehydroascorbate (bicyclic form)"
3-BETA-D-GLUCOSYLGLUCOSE	"nigerose"
CPD0-1761	"1,2-dioctanoyl-1,2,6-hexanetriol"
2-DEHYDROPANTOATE	"2-dehydropantoate"
CPD0-1686	"stigmatellin"
CPD0-1655	"mannonic amide"
SHIKIMATE	"shikimate"
CPD0-1613	"xylarohydroxamate"
PROPIONYL-P	"propanoyl phosphate"
CPD0-1583	"pyrimethamine"
P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE	"5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole"
CPD0-1532	"(2S,3S,6S)-3-fluoro-2,6-diaminopimelate"
N-ACETYLANTHRANILATE	"<i>N</i>-acetylanthranilate"
CPD0-1490	"3-methylanthranilate"
L-DI-GMP	"5'-phosphoguanylyl(3'&rarr;5')guanosine"
CPD0-1461	"5'-[p-(fluorosulphonyl)benzoyl]adenosine"
HYDROXYPYRIDINE-N-OXIDE	"hydroxypyridine N-oxide"
CPD0-1406	"9-[6(S),9-diamino-5,6,7,8,9-pentadeoxy-&beta;-D-ribo-nonafuranosyl]-9H-purin-6-amine"
GLOBOMYCIN	"globomycin"
CPD0-1352	"thiamine thiothiazolone diphosphate"
DL-5-FLUOROTRYPTOPHAN	"D,L-5-fluorotryptophan"
CPD0-1263	"4,5-dihydroxyisophthalate"
DI-H-OROTATE	"(<i>S</i>)-dihydroorotate"
CPD0-1203	"&alpha;-xylosyl fluoride"
CROTONO-BETAINE	"crotono-betaine"
CPD0-1105	"1-carboxymethylpyridinium"
CPD0-2672	"Gp4G"
CPD0-1036	"acivicin"
CPD-15530	"<i>aldehydo</i>-D-glucuronate"
CPD0-2556	"Sulindac"
CPD-8999	"5-(methylsulfanyl)-2,3-dioxopentyl 1-phosphate"
CPD0-2476	"3-phenylethylcatechol"
CPD-7417	"<i>cis</i>-coumarinic acid-&beta;-<i>D</i>-glucoside"
CPD0-2363	"2-oxepin-2(3H)-ylideneacetyl-CoA"
CPD-611	"thiamine triphosphate"
CPD0-2288	"three disacharide linked murein units (tetrapeptide crosslinked tetrapeptide (A2pm->D-ala) and tetrapeptide corsslinked tetrapeptide (A2pm->D-ala)) (middle of chain)"
CPD-5401	"p-chloromercuriphenylsulfonate"
CPD-10835	"4-aminobenzylamine"
CPD0-2216	"cyclopropane phosphatidylethanolamine (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)"
CPD-3741	"thiourea"
CHOLANATE2	"3&alpha;,12&alpha;-dihydroxy-7-oxo-5&beta;-cholan-24-oate"
CPD0-2143	"1-acyl-sn-glycero-3-phosphoglycerol (n-C14:0)"
CPD-3344	"pyruvic oxime"
ATABRINE	"atabrine"
CPD0-2082	"nicotinic acid N-oxide"
CPD-21022	"3,6-diaminoacridine"
8-SELENO-OCTANOATE	"8-seleno-octanoate"
CPD0-2040	"As(OH)<sub>3</sub>"
CPD-1831	"acetylenedicarboxylate"
5-METHYLTHIOFORMYCIN	"5'-(methylsulfanyl)formycin"
CPD0-1945	"L-Ala-D-Gln"
CPD-14463	"3-(carboxymethylaminomethyl)-4-hydroxybenzoate"
4-AMINO-BUTYRATE	"4-aminobutanoate"
CPD0-1889	"desulfo-CoA"
CPD-13859	"methacrylate"
3-5-ADP	"adenosine 3',5'-bisphosphate"
CPD0-1720	"2-dimethylbutanoyl-<i>S</i>-methyl-mercaptopropanoate"
2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE	"2-C-methyl-D-erythritol 4-phosphate"
CPD0-1683	"phosphoenol-2-oxobutanoate"
CPD0-1650	"2-amino-3-(phosphomethylphosphinyl)propanoate"
SELENALYSINE	"selenalysine"
CPD0-1609	"1,10-phenanthroline N10-oxide"
PORPHOBILINOGEN	"porphobilinogen"
CPD0-1574	"N10-formyl-2,4-diaminodideazafolate"
OXALO-SUCCINATE	"oxalosuccinate"
CPD0-1524	"&alpha;-oxo-1-carboxy-4-tetrahydrothiopyranpropanoate S-oxide"
CPD0-2637	"&beta;-D-galactose 1-phosphate"
N-23-DIHYDROXYBENZOYL-L-SERINE	"<i>N</i>-(2,3-dihydroxybenzoyl)-L-serine"
CPD-448	"&beta;-D-glucopyranose 1-phosphate"
CPD0-1486	"rCdRP"
L-2-AMINOHEXANOATE	"L-norleucine"
CPD0-1454	"3-(phosphonoacetylamido)-L-alanine"
HYDROXYMALONATE	"2-hydroxymalonate"
CPD0-1115	"L-xylulose 1-phosphate"
CPD0-1403	"5'-[(3-aminopropyl)methylamino]-5'-deoxyadenosine"
D-RIBULOSE-1-P	"D-ribulose 1-phosphate"
FORMYCIN-A	"formycin A"
RIBOSE-1P	"&alpha;-D-ribose-1-phosphate"
CPD0-1331	"dihydrouridine-diphosphate-<i>N</i>-acetylmuramoyl-L-alanyl-D-glutamate"
DIMETHYLBENZIMIDAZOLE	"5,6-dimethylbenzimidazole"
CPD0-1258	"DL-1,3-diaminopropan-2-ol"
DELTA3-ISOPENTENYL-PP	"isopentenyl diphosphate"
CPD0-1189	"4-amino-4-deoxy-&alpha;-L-arabinopyranosyl <i>ditrans,octacis</i>-undecaprenyl phosphate"
TAGATOSE-1-6-DIPHOSPHATE	"D-tagatofuranose 1,6-bisphosphate"
CPD0-967	"hexanediol 1,6-bisphosphate"
D-ALLOSE-6-PHOSPHATE	"<i>aldehydo</i>-D-allose 6-phosphate"
CPD0-1095	"adenosine thiamine triphosphate"
TAGATOSE-6-PHOSPHATE	"D-tagatofuranose 6-phosphate"
CPD0-2660	"&alpha;-L-fucosyl-(1->3)-&beta;-D-glucopyranosyl-diphosphoundecaprenol"
FRUCTOSE-16-DIPHOSPHATE	"&beta;-D-fructose 1,6-bisphosphate"
CPD0-1024	"3,4-epoxy-3-methyl-1-butyl diphosphate"
CPD-15826	"<i>keto</i>-D-tagatose 6-phosphate"
CPD0-2531	"1-hydroxy-2-naphthoyl-CoA"
L-ASCORBATE-6-PHOSPHATE	"L-ascorbate 6-phosphate"
CPD-8887	"glyoxal"
CPD-15828	"<i>keto</i>-L-tagatose 6-phosphate"
CPD0-2467	"3-hydroxy-5-phosphooxypentane-2,4-dione"
CPD-7100	"(2<i>S</i>)-2-isopropyl-3-oxosuccinate"
CPD0-2358	"6-phosphonouridine 5'-monophosphate"
CPD-605	"lumichrome"
CPD-13034	"(2<i>E</i>)-3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)prop-2-enoate"
CPD0-2277	"two disacharide linked murein units, tripeptide crosslinked tripeptide (A2pm->A2pm) (middle of chain)"
CPD-1181	"salicin 6-phosphate"
CPD-511	"pantetheine"
3-KETO-ADIPYL-COA	"3-oxoadipyl-CoA"
CPD-10774	"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran"
CPD0-1235	"<i>N</i>-iodoacetylglucosamine 6-phosphate"
CPD0-2202	"cyclopropane phosphatidylglycerol (dihexadec-9,10-cyclo-anoyl, n-C16:0 cyclo)"
D-ALLULOSE-6-PHOSPHATE	"D-allulose 6-phosphate"
CPD-3721	"cysteamine S-phosphate"
CPD-1162	"arbutin-6-phosphate"
CARBOXYMETHOXYLAMINE	"carboxymethoxylamine"
CPD0-2124	"ferroxamine"
N-ACETYL-D-GLUCOSAMINE-1-P	"<i>N</i>-acetyl-&alpha;-D-glucosamine 1-phosphate"
CPD-296	"dihydrolipoate"
CPD-7246	"<i>N</i>-acetyl-&alpha;-D-galactosamine 1-phosphate"
AMMONIA	"ammonia"
MANNOSE-1P	"&alpha;-D-mannose 1-phosphate"
CPD0-2071	"alafosfalin"
GLC-1-P	"&alpha;-D-glucopyranose 1-phosphate"
CPD-20890	"tetraphenylphosphonium"
GALACTOSE-1P	"&alpha;-D-galactose 1-phosphate"
7-METHYLGUANOSINE-5-PHOSPHATE	"<i>N</i><sup>7</sup>-methylguanosine 5'-phosphate"
S-3-HYDROXYBUTANOYL-COA	"(<i>S</i>)-3-hydroxybutanoyl-CoA"
CPD0-2028	"p-chlorophenylglyoxal"
RHAMNULOSE-1P	"L-rhamnulose 1-phosphate"
CPD-17752	"5-nitro benzisoxazole"
