"Gene Name"	"Accession-1"	"Left-End-Position"	"Right-End-Position"	"Product"	"Names"
G6658	"b1320"	1382963	1383961	G6658-MONOMER	"ycjW" // "b1320" // "ECK1316"
G7341	"b2547"	2676850	2678361	YPHE-MONOMER	"yphE" // "b2547" // "ECK2544"
G0-10555	"b4508"	566451	566687	MONOMER0-2777	"ybcD" // "b4508" // "ECK0532"
EG11157	"b2840"	2979943	2980635	EG11157-MONOMER	"ygeA" // "b2840" // "ECK2838"
G6263	"b0487"	513993	514400	G6263-MONOMER	"cueR" // "copR" // "ybbI" // "b0487" // "ECK0481"
EG12801	"b3195"	3339256	3340065	YRBF-MONOMER	"mlaF" // "vpsA(S.f.)" // "yrbF" // "b3195" // "ECK3184"
EG11304	"b1577"	1650078	1650998	EG11304-MONOMER	"ydfE" // "b1577" // "ECK1571"
G7864	"b4206"	4428079	4428717	G7864-MONOMER	"ytfB" // "b4206" // "ECK4202"
EG13161	"b2364"	2476694	2477629	PD00297	"dsdC" // "b2364" // "ECK2360"
G6800	"b1513"	1601490	1603025	YDEX-MONOMER	"lsrA" // "ego" // "ydeX" // "b1513" // "ECK1506"
G7760	"b3443"	3583041	3583454	G7760-MONOMER	"yrhA" // "b3443" // "ECK3429"
G7699	"b3283"	3431420	3431962	G7699-MONOMER	"yrdD" // "b3283" // "ECK3270"
EG12278	"b3574"	3741684	3742532	EG12278-MONOMER	"yiaJ" // "b3574" // "ECK3563"
G6752	"b1441"	1512817	1513830	YDCT-MONOMER	"ydcT" // "b1441" // "ECK1435"
G6656	"b1318"	1380821	1381789	YCJV-MONOMER	"ycjV" // "b1318" // "ECK1313"
G7611	"b3097"	3248969	3249337	G7611-MONOMER	"yqjC" // "b3097" // "ECK3088"
EG12105	"b2157"	2248737	2249618	EG12105-MONOMER	"yeiE" // "b2157" // "ECK2150"
EG12347	"b1917"	1997062	1997814	EG12347-MONOMER	"tcyN" // "yecC" // "b1917" // "ECK1916"
G0-16672	"b4657"	4534430	4534675		"yjhZ" // "b4657" // "ECK4455"
G7466	"b2846"	2987536	2988168	G7466-MONOMER	"yqeH" // "b2846" // "ECK2844"
EG11741	"b3264"	3412803	3413465	EG11741-MONOMER	"envR" // "acrS" // "yhdK" // "b3264" // "ECK3251"
G6429	"b0829"	867520	869391	YLIA-MONOMER	"gsiA" // "yliA" // "b0829" // "ECK0819"
G0-16655	"b4642"	2078549	2078677		"yoeD" // "b4642" // "ECK4443"
G7286	"b2456"	2571763	2572050	G7286-MONOMER	"eutN" // "yffY" // "cchB" // "b2456" // "ECK2451"
EG11449	"b4480"	3947128	3947967	EG11449-MONOMER	"hdfR" // "b3762 (obsolete)" // "yifA" // "yifD" // "b3763 (obsolete)" // "b4480" // "ECK3756"
EG12837	"b3271"	3422436	3423194	YHDZ-MONOMER	"yhdZ" // "b3271" // "ECK3258"
G0-10431	"b4503"	239190	239378	MONOMER0-2653	"yafF" // "b4503" // "ECK0219"
G7068	"b1983"	2056858	2057574	G7068-MONOMER	"yeeN" // "b1983" // "ECK1978"
EG11103	"b0535"	563848	564480	EG11103-MONOMER	"fimZ" // "ybcA" // "b0535" // "ECK0528"
EG12010	"b2129"	2216481	2217407	YEHX-MONOMER	"yehX" // "b2129" // "ECK2122"
EG10863	"b3643"	3815863	3816549	EG10863-MONOMER	"rph" // "b3643" // "ECK3633"
G6924	"b1706"	1789808	1791244	G6924-MONOMER	"ydiU" // "b1706" // "ECK1704"
EG10958	"b4062"	4277060	4277383	PD00406	"soxS" // "b4062" // "ECK4054"
G6951	"b1756"	1838747	1839400	YNJD-MONOMER	"ynjD" // "b1756" // "ECK1754"
G7536	"b2969"	3111128	3111988	G7536-MONOMER	"yghE" // "ecfB" // "b2969" // "ECK2964"
G6763	"b1452"	1523307	1524368	G6763-MONOMER	"yncE" // "b1452" // "ECK1446"
EG10466	"b4000"	4200281	4200553	EG10466-MONOMER	"hupA" // "b4000" // "ECK3992"
EG11657	"b0495"	519733	520419	YBBA-MONOMER	"ybbA" // "b0495" // "ECK0489"
G6535	"b1028"	1095544	1095846	G6535-MONOMER	"ymdE" // "b1028" // "ECK1016"
G6474	"b0926"	983075	983623	G6474-MONOMER	"ycbK" // "b0926" // "ECK0917"
EG10325	"b1334"	1398774	1399526	PD00197	"fnr" // "nirA" // "nirR" // "ossA" // "oxrA" // "b1334" // "ECK1330"
G6777	"b1483"	1557112	1558038	YDDO-MONOMER	"ddpF" // "yddO" // "b1483" // "ECK1477"
G0-16669	"b4653"	3836425	3836556		"yicT" // "erhM" // "rhuM" // "b4653" // "ECK4456"
G6271	"b0499"	527949	528659	G6271-MONOMER	"ylbH" // "b0499" // "ECK0493"
G7913	"b4300"	4526106	4526888	G7913-MONOMER	"sgcR" // "yjhJ" // "b4300" // "ECK4289"
EG11621	"b0199"	221614	222645	ABC-MONOMER	"metN" // "metD" // "abc" // "b0199" // "ECK0199"
G0-10682	"b4631"	317439	317567		"ykgQ" // "b4631" // "ECK4454"
G0-10652	"b4679"	2228982	2229065	MONOMER0-2879	"yohP" // "b4679" // "ECK4494"
G7575	"b3025"	3169828	3170487	MONOMER0-2741 // G7575-MONOMER	"qseB" // "ygiX" // "b3025" // "ECK3016"
G6574	"b1117"	1176619	1177320	YCFV-MONOMER	"lolD" // "ycfV" // "b1117" // "ECK1103"
EG12364	"b4271"	4496750	4497940	EG12364-MONOMER	"intB" // "int(P4)" // "yjgC" // "b4271" // "ECK4264"
EG12851	"b0643"	675018	675500	EG12851-MONOMER	"ybeL" // "b0643" // "ECK0636"
G7245	"b2382"	2501130	2501987	G7245-MONOMER	"ypdC" // "b2382" // "ECK2378"
G6411	"b0794"	827245	828981	YBHF-MONOMER	"ybhF" // "b0794" // "ECK0783"
EG10400	"b3423"	3559848	3560605	PD03576	"glpR" // "b3423" // "ECK3409"
EG12280	"b3576"	3743743	3744210	EG12280-MONOMER	"yiaL" // "b3576" // "ECK3565"
G6852	"b1594"	1667344	1668564	PD01896	"mlc" // "dgsA" // "b1594" // "ECK1589"
EG12903	"b3352"	3481289	3483202	YHES-MONOMER	"yheS" // "b3352" // "ECK3340"
G7404	"b2681"	2808612	2809493		"ygaY_2" // "ygaY" // "b2681" // "ECK2675"
EG11998	"b2119"	2204596	2205684	EG11998-MONOMER	"yehL" // "b2119" // "ECK2111"
G6628	"b1201"	1251066	1252985	G6628-MONOMER	"dhaR" // "ycgU" // "b1201" // "ECK1189"
EG12041	"b2180"	2276300	2277889	YEJF-MONOMER	"yejF" // "b2180" // "ECK2174"
G6348	"b0626"	658255	658818	G6348-MONOMER	"ybeM_2" // "ybeM" // "b0626" // "ECK0619"
EG11874	"b3920"	4111615	4112214	EG11874-MONOMER	"yiiQ" // "b3920" // "ECK3912"
EG12694	"b3060"	3205324	3206256	MONOMER0-4119 // EG12694-MONOMER	"ttdR" // "dan" // "ygiP" // "b3060" // "ECK3050"
EG11680	"b3201"	3343944	3344669	YHBG-MONOMER	"lptB" // "yhbG" // "b3201" // "ECK3190"
G0-16666	"b4650"	3768639	3768890		"yibS" // "b4650" // "ECK4440"
EG11651	"b0210"	231926	232549	EG11651-MONOMER	"yafE" // "b0210" // "ECK0210"
EG12243	"b3516"	3664986	3665810	EG12243-MONOMER	"gadX" // "yhiX" // "b3516" // "ECK3501"
EG10501	"b3769"	3952201	3952464	SMALLILVM-MONOMER	"ilvM" // "b3769" // "ECK3761"
G0-10604	"b4614"	3722076	3722105		"sokA" // "b4614" // "ECK4423"
EG11251	"b1214"	1267320	1268129	EG11251-MONOMER	"ychA" // "sirB1" // "b1214" // "ECK1202"
EG11969	"b3292"	3438705	3439130	EG11969-MONOMER	"zntR" // "yhdM" // "b3292" // "ECK3279"
EG11275	"b3672"	3852890	3852988	EG11275-MONOMER	"ivbL" // "b3672" // "ECK3663"
EG12161	"b0297"	314357	315244	EG12161-MONOMER	"eaeH" // "b0297" // "ECK0297"
EG11137	"b1864"	1947411	1948151	EG11137-MONOMER	"yebC" // "b1864" // "ECK1865"
EG11711	"b3684"	3863899	3864615	EG11711-MONOMER	"yidP" // "b3684" // "ECK3676"
EG10494	"b3671"	3851096	3852784	LARGEILVB-MONOMER	"ilvB" // "b3671" // "ECK3662"
G7374	"b2639"	2772167	2772685		"ypjM_3" // "ypjL" // "yfjV_4" // "b2639" // "ECK2635"
G7846	"b4181"	4410133	4410534	G7846-MONOMER	"yjfI" // "b4181" // "ECK4177"
EG11421	"b0338"	357791	358690	PD00291	"cynR" // "b0338" // "ECK0335"
EG10502	"b3670"	3850802	3851092	SMALLILVN-MONOMER	"ilvN" // "b3670" // "ECK3661"
G6137	"b0263"	278814	279176	G6137-MONOMER	"afuB" // "fbpB" // "b0263" // "ECK0265"
G7693	"b3257"	3407375	3407617	G7693-MONOMER	"yhdT" // "b3257" // "ECK3244"
EG10899	"b3649"	3822106	3822381	EG10899-MONOMER	"rpoZ" // "spoS" // "b3649" // "ECK3639"
EG10499	"b0078"	87357	87848	ACETOLACTSYNIII-HCHAIN-MONOMER	"ilvH" // "brnP" // "b0078" // "ECK0080"
G0-16663	"b4647"	3720448	3720632		"mokA" // "b4647" // "ECK4448"
G7589	"b3051"	3192864	3194525	G7589-MONOMER	"yqiK" // "b3051" // "ECK3040"
EG10562	"b3418"	3553085	3555790	PD00237	"malT" // "malA" // "b3418" // "ECK3405"
EG10495	"b3774"	3957970	3959445	KETOLREDUCTOISOM-MONOMER	"ilvC" // "b3774" // "ECK3766"
G0-10563	"b4552"	3623887	3624132		"yrhC" // "b4552" // "ECK3468"
G7435	"b2769"	2894919	2895779	G7435-MONOMER	"ygcQ" // "b2769" // "ECK2764"
EG10534	"b2411"	2528161	2530176	EG10534-MONOMER	"ligA" // "dnaL" // "lig" // "lop" // "pdeC" // "b2411" // "ECK2406"
EG10500	"b0077"	85630	87354	ACETOLACTSYNIII-ICHAIN-MONOMER	"ilvI" // "b0077" // "ECK0079"
EG11777	"b0690"	715947	716357	EG11777-MONOMER	"ybfG" // "ybfH" // "b0690" // "ECK0678"
G7214	"b2343"	2460650	2460934	G7214-MONOMER	"yfcZ" // "b2343" // "ECK2337"
EG11281	"b4170"	4397412	4399259	EG11281-MONOMER	"mutL" // "b4170" // "ECK4166"
EG10496	"b3771"	3953478	3955328	DIHYDROXYACIDDEHYDRAT-MONOMER	"ilvD" // "b3771" // "ECK3763"
G7903	"b4282"	4506861	4507109	G7903-MONOMER	"yjhE" // "b4282" // "ECK4272"
G7027	"b1878"	1962580	1962972	G7027-MONOMER	"flhE" // "b1878" // "ECK1879"
G6383	"b0714"	745935	746726	G6383-MONOMER	"nei" // "b0714" // "ECK0703"
EG11270	"b3766"	3950322	3950420	EG11270-MONOMER	"ilvL" // "b3766" // "ECK3759"
G7079	"b1999"	2070786	2071211	G7079-MONOMER	"yeeP" // "b1999" // "ECK1991"
G6903	"b1675"	1754932	1755141	G6903-MONOMER	"fumD" // "ydhZ" // "b1675" // "ECK1671"
G6251	"b0454"	475982	476371	G6251-MONOMER	"atl" // "ybaZ" // "b0454" // "ECK0448"
EG10493	"b3772"	3955331	3956875	THREDEHYDSYN-MONOMER	"ilvA" // "ile" // "b3772" // "ECK3764"
G6113	"b0229"	248358	250070	G6113-MONOMER	"lfhA" // "fhiA" // "b0229" // "ECK0230"
G6635	"b1267"	1324098	1324718	G6635-MONOMER	"yciO" // "b1267" // "ECK1261"
EG11058	"b2580"	2716754	2717443	EG11058-MONOMER	"ung" // "b2580" // "ECK2578"
EG11026	"b1262"	1318427	1319788	PRAI-IGPS	"trpC" // "trpF" // "trpCF" // "b1262" // "ECK1256"
G0-16659	"b4638"	1434958	1435008		"ttcC" // "b4638" // "ECK4447"
G6460	"b0877"	918128	919120	G6460-MONOMER	"ybjX" // "b0877" // "ECK0868"
EG10662	"b1633"	1711523	1712158	EG10662-MONOMER	"nth" // "b1633" // "ECK1629"
EG11274	"b1265"	1323038	1323082	EG11274-MONOMER	"trpL" // "trpEE" // "b1265" // "ECK1259"
G0-10556	"b4519"	1211425	1211577	MONOMER0-2778	"icdC" // "b4519" // "ECK1146"
G6434	"b0834"	875335	876663	G6434-MONOMER	"dgcI" // "yliF" // "b0834" // "ECK0824"
EG11619	"b1114"	1170518	1173964	EG11619-MONOMER	"mfd" // "b1114" // "ECK1100"
EG11027	"b1263"	1319789	1321384	ANTHRANSYNCOMPII-MONOMER	"trpD" // "trpGD" // "b1263" // "ECK1257"
EG11386	"b4486"	4574135	4576855	EG11386-MONOMER	"yjiV" // "mcrD" // "yjiU" // "b4343 (obsolete)" // "b4344 (obsolete)" // "b4486" // "ECK4334"
G6252	"b0457"	477067	478617	G6252-MONOMER	"pdeB" // "ylaB" // "b0457" // "ECK0451"
EG10986	"b3549"	3713092	3713655	EG10986-MONOMER	"tag" // "tagA" // "b3549" // "ECK3536"
EG11024	"b1260"	1316416	1317222	TRYPSYN-APROTEIN	"trpA" // "try" // "tryp" // "b1260" // "ECK1254"
G7798	"b3777"	3960242	3960460	G7798-MONOMER	"yifN" // "b3777" // "ECK3769"
G0-10648	"b4675"	1878874	1878948	MONOMER0-2875	"yoaJ" // "b4675" // "ECK4490"
EG10624	"b2831"	2969662	2970351	EG10624-MONOMER	"mutH" // "mutR" // "prv" // "b2831" // "ECK2827"
EG10080	"b1704"	1788435	1789481	AROH-MONOMER	"aroH" // "b1704" // "ECK1702"
G6836	"b1578"	1650881	1651537	G6836-MONOMER	"insD-7" // "insD" // "b1578" // "ECK1572"
EG12708	"b0527"	556032	556553	EG12708-MONOMER	"ybcI" // "b0527" // "ECK0520"
EG10329	"b3635"	3810343	3811152	EG10329-MONOMER	"mutM" // "fpg" // "b3635" // "ECK3625"
EG11028	"b1264"	1321384	1322946	ANTHRANSYNCOMPI-MONOMER	"trpE" // "anth" // "tryD" // "tryp-4" // "b1264" // "ECK1258"
G0-16674	"b4688"	290429	290633		"ykgS" // "b4688" // "ECK4504"
EG12263	"b3536"	3696458	3698029	EG12263-MONOMER	"bcsE" // "yhjS" // "b3536" // "ECK3521"
EG11193	"b3645"	3817760	3818584	EG11193-MONOMER	"dinD" // "pcsA" // "yicD" // "b3645" // "ECK3635"
EG11025	"b1261"	1317222	1318415	TRYPSYN-BPROTEIN	"trpB" // "b1261" // "ECK1255"
G0-16656	"b4641"	2068261	2068419		"yoeH" // "b4641" // "ECK4452"
EG11964	"b3602"	3776665	3777027	EG11964-MONOMER	"yibL" // "b3602" // "ECK3592"
EG10029	"b2213"	2309341	2310405	PD00230	"ada" // "b2213" // "ECK2205"
EG10999	"b0003"	2801	3733	HOMOSERKIN-MONOMER	"thrB" // "b0003" // "ECK0003"
G0-10445	"b4524"	1381789	1381902	MONOMER0-2667	"ymjB" // "b4524" // "ECK1314"
EG11839	"b3873"	4061165	4062145	EG11839-MONOMER	"yihM" // "b3873" // "ECK3866"
EG10736	"b0708"	739507	740925	EG10736-MONOMER	"phr" // "phrB" // "b0708" // "ECK0697"
EG11000	"b0004"	3734	5020	THRESYN-MONOMER	"thrC" // "b0004" // "ECK0004"
EG11283	"b4104"	4322661	4323281	PHNE-MONOMER	"phnE_1" // "phnE" // "b4104" // "ECK4097"
EG11603	"b3054"	3199664	3200965	EG11603-MONOMER	"ygiF" // "b3054" // "ECK3044"
EG10625	"b2733"	2857093	2859654	EG10625-MONOMER	"mutS" // "ant" // "plm" // "fdv" // "b2733" // "ECK2728"
EG10187	"b3607"	3781741	3782562	SERINE-O-ACETTRAN-MONOMER	"cysE" // "b3607" // "ECK3597"
G7632	"b3133"	3280217	3280690	G7632-MONOMER	"agaV" // "yhaY" // "b3133" // "ECK3121"
EG11214	"b4360"	4599695	4600189	EG11214-MONOMER	"yjjA" // "b4360" // "ECK4350"
G7117	"b2080"	2165189	2165521	G7117-MONOMER	"yegP" // "b2080" // "ECK2076"
EG10192	"b2414"	2532409	2533380	ACSERLYA-MONOMER	"cysK" // "ssi5" // "b2414" // "ECK2409"
G6599	"b1157"	1209119	1209655	G6599-MONOMER	"stfE" // "ycfE" // "b1157" // "ECK1143"
EG11125	"b1257"	1314718	1315224	EG11125-MONOMER	"yciE" // "b1257" // "ECK1251"
EG11222	"b2068"	2146692	2147540	EG11222-MONOMER	"alkA" // "aidA" // "b2068" // "ECK2062"
EG10193	"b2421"	2538672	2539583	ACSERLYB-MONOMER	"cysM" // "b2421" // "ECK2416"
G0-16670	"b4654"	4362191	4362353		"yjdQ" // "b4654" // "ECK4457"
G7835	"b4145"	4373365	4374234	G7835-MONOMER	"yjeJ" // "b4145" // "ECK4139"
EG10037	"b2212"	2308691	2309341	EG10037-MONOMER	"alkB" // "aidD" // "b2212" // "ECK2204"
G6359	"b0655"	686839	687747	G6359-MONOMER	"gltI" // "yzzK" // "ybeJ" // "b0655" // "ECK0648"
G0-16653	"b4644"	2775545	2775816		"ypjI" // "b4644" // "ECK4438"
G7681	"b3233"	3380191	3380589	G7681-MONOMER	"yhcB" // "b3233" // "ECK3222"
EG11068	"b1960"	2030448	2030918	EG11068-MONOMER	"vsr" // "b1960" // "ECK1958"
EG10372	"b1761"	1842371	1843714	GDHA-MONOMER	"gdhA" // "b1761" // "ECK1759"
EG12766	"b3135"	3281122	3281625	AGAA-MONOMER	"agaA" // "yraA" // "b3135" // "ECK3123"
G7551	"b2985"	3133244	3133957	G7551-MONOMER	"yghS" // "b2985" // "ECK2979"
EG12717	"b3068"	3214967	3215473	EG12717-MONOMER	"mug" // "ygjF" // "b3068" // "ECK3058"
EG12663	"b0652"	684530	685255	GLTL-MONOMER	"gltL" // "b0652" // "ECK0645"
EG10659	"b0553"	575758	576825	EG10659-MONOMER	"nmpC" // "phmA" // "b0553" // "ECK0544"
G7418	"b2737"	2862335	2863501	G7418-MONOMER	"ygbK" // "b2737" // "ECK2732"
EG11871	"b3385"	3513631	3514389	GPH-MONOMER	"gph" // "yhfE" // "b3385" // "ECK3372"
EG10540	"b3458"	3596451	3597560	LIVK-MONOMER	"livK" // "hrbD" // "hrbC" // "hrbB" // "b3458" // "ECK3442"
G7474	"b2854"	2994041	2994415	G7474-MONOMER	"pbl" // "ygeJ" // "b2854" // "ECK2852"
G7202	"b2331"	2448606	2449157	G7202-MONOMER	"smrB" // "yfcN" // "b2331" // "ECK2325"
EG10627	"b2961"	3103013	3104065	EG10627-MONOMER	"mutY" // "micA" // "b2961" // "ECK2956"
EG11576	"b0072"	79464	80864	LEUC-MONOMER	"leuC" // "b0072" // "ECK0074"
G6376	"b0703"	734220	735653	G6376-MONOMER	"ybfO" // "b0703" // "ECK0691"
G6998	"b1820"	1904801	1905259	G6998-MONOMER	"yobD" // "b1820" // "ECK1818"
EG11414	"b4372"	4607803	4608216	EG11414-MONOMER	"holD" // "b4372" // "ECK4363"
EG11226	"b0074"	81958	83529	2-ISOPROPYLMALATESYN-MONOMER	"leuA" // "b0074" // "ECK0076"
G0-16667	"b4651"	3768892	3769256		"yibW" // "b4651" // "ECK4450"
G6894	"b1664"	1744871	1746127	G6894-MONOMER	"ydhQ" // "b1664" // "ECK1660"
EG10238	"b0184"	205126	208608	EG10238-MONOMER	"dnaE" // "sdgC" // "polC" // "b0184" // "ECK0183"
EG11577	"b0073"	80867	81958	3-ISOPROPYLMALDEHYDROG-MONOMER	"leuB" // "b0073" // "ECK0075"
G0-10614	"b4627"	266553	266774		"ykfL" // "b4627" // "ECK4445"
G6608	"b1168"	1217328	1218851	G6608-MONOMER	"pdeG" // "ycgG" // "b1168" // "ECK1155"
EG11366	"b4396"	4634441	4635310	PD04418	"rob" // "cbpB" // "robA" // "b4396" // "ECK4388"
EG11280	"b0075"	83622	83708	EG11280-MONOMER	"leuL" // "leuLP" // "leulL" // "leulLP" // "leuIP" // "b0075" // "ECK0077"
EG12208	"b0625"	658031	658258	EG12208-MONOMER	"ybeM_1" // "ybeH" // "b0625" // "ECK0618"
G6413	"b0804"	838530	839207	G6413-MONOMER	"ybiX" // "b0804" // "ECK0793"
EG10763	"b3935"	4124612	4126810	EG10763-MONOMER	"priA" // "srgA" // "b3935" // "ECK3927"
EG10539	"b3460"	3598555	3599658	LIVJ-MONOMER	"livJ" // "hrbD" // "hrbC" // "hrbB" // "b3460" // "ECK3444"
G7376	"b2641"	2772976	2773158	G7376-MONOMER	"ypjM_1" // "ypjM" // "yfjV_2" // "b2641" // "ECK2637"
G6186	"b0321"	338325	339743	G6186-MONOMER	"yahG" // "b0321" // "ECK0319"
EG10235	"b3702"	3882326	3883729	PD03831	"dnaA" // "b3702" // "ECK3694"
EG11575	"b0071"	78848	79453	LEUD-MONOMER	"leuD" // "b0071" // "ECK0073"
G6170	"b0300"	316450	317136	G6170-MONOMER	"ykgA" // "b0300" // "ECK0300"
G0-10643	"b4678"	2087052	2087114	MONOMER0-2870	"yoeI" // "b4678" // "ECK4493"
EG10687	"b3030"	3173504	3175396	EG10687-MONOMER	"parE" // "nfxD" // "b3030" // "ECK3021"
EG10449	"b2019"	2090192	2091091	ATPPHOSRIBOSTRANS-MONOMER	"hisG" // "b2019" // "ECK2014"
G0-16664	"b4648"	3750813	3750914		"ysaC" // "b4648" // "ECK4459"
EG12379	"b1868"	1951395	1952213	EG12379-MONOMER	"yecE" // "b1868" // "ECK1869"
EG11038	"b1610"	1684259	1685188	EG11038-MONOMER	"tus" // "tau" // "b1610" // "ECK1605"
EG10446	"b2021"	2092398	2093468	HISTPHOSTRANS-MONOMER	"hisC" // "b2021" // "ECK2016"
G0-10564	"b4556"	3861173	3861349		"ysdC" // "b4556" // "ECK3672"
EG12251	"b3524"	3676290	3678350	EG12251-MONOMER	"yhjG" // "yhjF" // "b3524" // "ECK3509"
EG10424	"b3699"	3877705	3880119	EG10424-MONOMER	"gyrB" // "cou" // "hopA" // "pcpA" // "pcbA" // "parA" // "nalC" // "Cou" // "acrB" // "himB" // "hisU" // "b3699" // "ECK3691"
EG11269	"b2018"	2089996	2090046	EG11269-MONOMER	"hisL" // "b2018" // "ECK2013"
EG11778	"b0691"	716388	716597	EG11778-MONOMER	"ybfH" // "b0691" // "ECK0679"
EG11941	"b4066"	4281783	4283075	EG11941-MONOMER	"yjcF" // "b4066" // "ECK4059"
EG12158	"b0393"	409108	410019	EG12158-MONOMER	"rdgC" // "yaiD" // "b0393" // "ECK0388"
EG10450	"b2023"	2094535	2095125	GLUTAMIDOTRANS-MONOMER	"hisH" // "b2023" // "ECK2018"
G7918	"b4308"	4535015	4536031	G7918-MONOMER	"yjhR" // "b4308" // "ECK4299"
EG11806	"b1846"	1929048	1929707	EG11806-MONOMER	"yebE" // "b1846" // "ECK1847"
EG10860	"b0214"	235535	236002	EG10860-MONOMER	"rnhA" // "cer" // "sin" // "dasF" // "herA" // "rnh" // "sdrA" // "b0214" // "ECK0214"
EG10447	"b2020"	2091097	2092401	HISTDEHYD-MONOMER	"hisD" // "b2020" // "ECK2015"
G7120	"b2083"	2167602	2167820	G7120-MONOMER	"yegZ" // "b2083" // "ECK2080"
EG11526	"b1460"	1531816	1532952	EG11526-MONOMER	"ydcC" // "b1460" // "ECK1454"
EG10244	"b4362"	4600978	4601517	EG10244-MONOMER	"dnaT" // "b4362" // "ECK4352"
EG10444	"b2024"	2095125	2095862	PRIBFAICARPISOM-MONOMER	"hisA" // "b2024" // "ECK2019"
G6114	"b0230"	250072	250827	G6114-MONOMER	"lafU" // "mbhA" // "b0230" // "ECK0231"
EG11192	"b3644"	3816676	3817539	EG11192-MONOMER	"yicC" // "b3644" // "ECK3634"
EG11500	"b1099"	1155762	1156766	EG11500-MONOMER	"holB" // "b1099" // "ECK1085"
EG10451	"b2026"	2096614	2097225	HISTCYCLOPRATPPHOS	"hisI" // "hisE" // "hisIE" // "b2026" // "ECK2021"
G0-16660	"b4645"	2777972	2777985		"psaA" // "b4645" // "ECK4465"
EG11099	"b0456"	476672	477025	EG11099-MONOMER	"ybaA" // "b0456" // "ECK0450"
EG10829	"b3652"	3825210	3827291	EG10829-MONOMER	"recG" // "radC" // "spoV" // "b3652" // "ECK3642"
EG10448	"b2025"	2095844	2096620	CYCLASE-MONOMER	"hisF" // "b2025" // "ECK2020"
G0-10559	"b4534"	1652728	1652838	MONOMER0-2781	"ynfP" // "b4534" // "ECK1574"
G7941	"b4353"	4588876	4589079	G7941-MONOMER	"yjiX" // "b4353" // "ECK4343"
EG10239	"b3066"	3211107	3212852	EG10239-MONOMER	"dnaG" // "dnaP" // "parB" // "sdgA" // "b3066" // "ECK3056"
EG10445	"b2022"	2093468	2094535	IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER	"hisB" // "b2022" // "ECK2017"
EG11496	"b0236"	253702	254202	EG11496-MONOMER	"prfH" // "b0236" // "ECK0237"
G7825	"b4121"	4344929	4345558	G7825-MONOMER	"yjdF" // "b4121" // "ECK4114"
EG11412	"b0640"	670574	671605	EG11412-MONOMER	"holA" // "b0640" // "ECK0633"
EG10584	"b3829"	4013053	4015314	HOMOCYSMET-MONOMER	"metE" // "metB12" // "b3829" // "ECK3823"
G7822	"b4103"	4322443	4322811	G7822-MONOMER	"phnE_2" // "phnE" // "b4103" // "ECK4096"
G7650	"b3156"	3300255	3300758	G7650-MONOMER	"yhbS" // "b3156" // "ECK3144"
EG10764	"b4201"	4425520	4425834	EG10764-MONOMER	"priB" // "b4201" // "ECK4197"
EG10581	"b4013"	4214280	4215209	HOMSUCTRAN-MONOMER	"metA" // "b4013" // "ECK4005"
G6837	"b1579"	1651512	1652708	G6837-MONOMER	"intQ" // "b1579" // "ECK1573"
G7529	"b2953"	3096383	3096673	G7529-MONOMER	"yggU" // "b2953" // "ECK2948"
EG10236	"b4052"	4264314	4265729	EG10236-MONOMER	"dnaB" // "groP" // "grpA" // "grpD" // "b4052" // "ECK4044"
EG10587	"b4019"	4223828	4227511	HOMOCYSMETB12-MONOMER	"metH" // "b4019" // "ECK4011"
G0-16676	"b4697"	3404495	3404637		"yrdF" // "b4697" // "ECK4509"
G7396	"b2666"	2796870	2797028	G7396-MONOMER	"yqaE" // "b2666" // "ECK2660"
EG11111	"b0880"	922366	922590	EG11111-MONOMER	"cspD" // "ybjA" // "cspH" // "b0880" // "ECK0871"
EG10583	"b3008"	3152236	3153423	CYSTATHIONINE-BETA-LYASE-MONOMER	"metC" // "b3008" // "ECK3000"
G0-16657	"b4640"	2067360	2067892		"yoeG" // "b4640" // "ECK4451"
G7173	"b2266"	2380722	2381027	G7173-MONOMER	"elaB" // "yfbD" // "b2266" // "ECK2260"
EG10746	"b3863"	4046966	4049752	EG10746-MONOMER	"polA" // "resA" // "b3863" // "ECK3855"
EG10079	"b0754"	785633	786685	AROG-MONOMER	"aroG" // "b0754" // "ECK0743"
G0-10515	"b4562"	4509551	4509793		"yjhW" // "b4562" // "ECK4275"
G6983	"b1797"	1879589	1879948	G6983-MONOMER	"yeaR" // "b1797" // "ECK1795"
EG10490	"b2916"	3059753	3060646	EG10490-MONOMER	"argP" // "iciA" // "b2916" // "ECK2912"
EG11271	"b2598"	2737599	2737646	EG11271-MONOMER	"pheL" // "pheAE" // "b2598" // "ECK2595"
EG11302	"b1573"	1648823	1649041	EG11302-MONOMER	"ydfC" // "b1573" // "ECK1567"
G6870	"b1626"	1705250	1705690	G6870-MONOMER	"ydgK" // "rsxP" // "b1626" // "ECK1622"
EG12197	"b0687"	712987	713532	EG12197-MONOMER	"seqA" // "hsm-1" // "b0687" // "ECK0675"
G6455	"b0870"	908293	909294	LTAA-MONOMER	"ltaE" // "ltaA" // "ybjU" // "b0870" // "ECK0861"
G7633	"b3134"	3280701	3281102	G7633-MONOMER	"agaW" // "yhaZ" // "b3134" // "ECK3122"
G6560	"b1068"	1126806	1127729	G6560-MONOMER	"yceM" // "mviM" // "b1068" // "ECK1053"
