EntryID	PubMedID	Organism	UniprotID	Enzymename	ECNumber	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit	ReactionEquation
4069	15723541	Escherichia coli	P50457	4-aminobutyrate transaminase	2.6.1.19	concentration	2-Oxoglutarate	0.0024		-	M	D-Glutamate + 2-Oxoglutarate = CO2 + L-Glutamate + Succinate semialdehyde
4069	15723541	Escherichia coli	P50457	4-aminobutyrate transaminase	2.6.1.19	concentration	D-Glutamate	0.08		-	M	D-Glutamate + 2-Oxoglutarate = CO2 + L-Glutamate + Succinate semialdehyde
4069	15723541	Escherichia coli	P50457	4-aminobutyrate transaminase	2.6.1.19	concentration	Pyridoxal phosphate	4.0E-5		-	M	D-Glutamate + 2-Oxoglutarate = CO2 + L-Glutamate + Succinate semialdehyde
4070	15723541	Escherichia coli	P22256	4-aminobutyrate transaminase	2.6.1.19	concentration	2-Oxoglutarate	0.0024		-	M	2-Methylaspartic acid + 2-Oxoglutarate = CO2 + L-Glutamate + Acetoacetate
4070	15723541	Escherichia coli	P22256	4-aminobutyrate transaminase	2.6.1.19	concentration	Pyridoxal phosphate	4.0E-5		-	M	2-Methylaspartic acid + 2-Oxoglutarate = CO2 + L-Glutamate + Acetoacetate
4070	15723541	Escherichia coli	P22256	4-aminobutyrate transaminase	2.6.1.19	concentration	2-Methylaspartic acid	0.08		-	M	2-Methylaspartic acid + 2-Oxoglutarate = CO2 + L-Glutamate + Acetoacetate
4070	15723541	Escherichia coli	P22256	4-aminobutyrate transaminase	2.6.1.19	kcat		8.6E-4		2.0E-5	s^(-1)	2-Methylaspartic acid + 2-Oxoglutarate = CO2 + L-Glutamate + Acetoacetate
4071	15723541	Escherichia coli	P22256	4-aminobutyrate transaminase	2.6.1.19	kcat		9.2E-4		9.0E-5	s^(-1)	2-Methylglutamate + 2-Oxoglutarate = CO2 + L-Glutamate + Levulinic acid
4071	15723541	Escherichia coli	P22256	4-aminobutyrate transaminase	2.6.1.19	concentration	2-Methylglutamate	0.08		-	M	2-Methylglutamate + 2-Oxoglutarate = CO2 + L-Glutamate + Levulinic acid
4071	15723541	Escherichia coli	P22256	4-aminobutyrate transaminase	2.6.1.19	concentration	Pyridoxal phosphate	4.0E-5		-	M	2-Methylglutamate + 2-Oxoglutarate = CO2 + L-Glutamate + Levulinic acid
4071	15723541	Escherichia coli	P22256	4-aminobutyrate transaminase	2.6.1.19	concentration	2-Oxoglutarate	0.0024		-	M	2-Methylglutamate + 2-Oxoglutarate = CO2 + L-Glutamate + Levulinic acid
4329	5332668	Escherichia coli	P0A9D6	serine O-acetyltransferase	2.3.1.30	Ki	L-Cysteine	4.0E-7		-	M	L-Serine + Acetyl-CoA = Coenzyme A + O-Acetyl-L-serine
4329	5332668	Escherichia coli	P0A9D6	serine O-acetyltransferase	2.3.1.30	concentration	Acetyl-CoA	0.0	1.7E-4	-	M	L-Serine + Acetyl-CoA = Coenzyme A + O-Acetyl-L-serine
4329	5332668	Escherichia coli	P0A9D6	serine O-acetyltransferase	2.3.1.30	concentration	L-Cysteine	1.1E-6		-	M	L-Serine + Acetyl-CoA = Coenzyme A + O-Acetyl-L-serine
4330	5332668	Escherichia coli	P0A9D6	serine O-acetyltransferase	2.3.1.30	Vmax				-	-	L-Serine + Acetyl-CoA = Coenzyme A + O-Acetyl-L-serine
4330	5332668	Escherichia coli	P0A9D6	serine O-acetyltransferase	2.3.1.30	Km	Acetyl-CoA	1.1E-4		-	M	L-Serine + Acetyl-CoA = Coenzyme A + O-Acetyl-L-serine
4330	5332668	Escherichia coli	P0A9D6	serine O-acetyltransferase	2.3.1.30	concentration	L-Serine	0.001		-	M	L-Serine + Acetyl-CoA = Coenzyme A + O-Acetyl-L-serine
4330	5332668	Escherichia coli	P0A9D6	serine O-acetyltransferase	2.3.1.30	concentration	Acetyl-CoA	0.0	2.0E-4	-	M	L-Serine + Acetyl-CoA = Coenzyme A + O-Acetyl-L-serine
4331	5332668	Escherichia coli	P0A9D6	serine O-acetyltransferase	2.3.1.30	concentration	L-Serine	0.0	0.008	-	M	L-Serine + Acetyl-CoA = Coenzyme A + O-Acetyl-L-serine
4331	5332668	Escherichia coli	P0A9D6	serine O-acetyltransferase	2.3.1.30	Km	L-Serine	5.6E-4		-	M	L-Serine + Acetyl-CoA = Coenzyme A + O-Acetyl-L-serine
4331	5332668	Escherichia coli	P0A9D6	serine O-acetyltransferase	2.3.1.30	Vmax				-	-	L-Serine + Acetyl-CoA = Coenzyme A + O-Acetyl-L-serine
4331	5332668	Escherichia coli	P0A9D6	serine O-acetyltransferase	2.3.1.30	concentration	Acetyl-CoA	1.0E-4		-	M	L-Serine + Acetyl-CoA = Coenzyme A + O-Acetyl-L-serine
4332	5332668	Escherichia coli	P16703	cysteine synthase	2.5.1.47	concentration	Hydrogen sulfide	0.0	0.0024	-	M	Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine
4332	5332668	Escherichia coli	P16703	cysteine synthase	2.5.1.47	Km	Hydrogen sulfide	0.018		-	M	Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine
4332	5332668	Escherichia coli	P16703	cysteine synthase	2.5.1.47	concentration	O-Acetyl-L-serine	0.0	0.12	-	M	Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine
4332	5332668	Escherichia coli	P16703	cysteine synthase	2.5.1.47	Km	O-Acetyl-L-serine	0.014		-	M	Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine
4553	11888289	Escherichia coli	P00561	aspartate kinase	2.7.2.4	kcat/Km	L-Aspartate	630.0		-	M^(-1)*s^(-1)	ATP + L-Aspartate = ADP + 4-Phospho-L-aspartate
4553	11888289	Escherichia coli	P00561	aspartate kinase	2.7.2.4	kcat		0.39		0.02	s^(-1)	ATP + L-Aspartate = ADP + 4-Phospho-L-aspartate
4553	11888289	Escherichia coli	P00561	aspartate kinase	2.7.2.4	Ki	L-Threonine	3.3E-4		4.0E-5	M	ATP + L-Aspartate = ADP + 4-Phospho-L-aspartate
4553	11888289	Escherichia coli	P00561	aspartate kinase	2.7.2.4	Km	L-Aspartate	6.3E-4		8.0E-5	M	ATP + L-Aspartate = ADP + 4-Phospho-L-aspartate
4554	11888289	Escherichia coli		aspartate kinase	2.7.2.4	Km	L-Aspartate	4.7E-4		9.0E-5	M	ATP + L-Aspartate = ADP + 4-Phospho-L-aspartate
4554	11888289	Escherichia coli		aspartate kinase	2.7.2.4	kcat		6.3		0.6	s^(-1)	ATP + L-Aspartate = ADP + 4-Phospho-L-aspartate
4554	11888289	Escherichia coli		aspartate kinase	2.7.2.4	kcat/Km	L-Aspartate	14000.0		-	M^(-1)*s^(-1)	ATP + L-Aspartate = ADP + 4-Phospho-L-aspartate
4555	11888289	Escherichia coli		aspartate kinase	2.7.2.4	Km	L-Aspartate	5.9E-4		2.0E-5	M	ATP + L-Aspartate = ADP + 4-Phospho-L-aspartate
4555	11888289	Escherichia coli		aspartate kinase	2.7.2.4	kcat		1.35		0.03	s^(-1)	ATP + L-Aspartate = ADP + 4-Phospho-L-aspartate
4555	11888289	Escherichia coli		aspartate kinase	2.7.2.4	kcat/Km	L-Aspartate	2300.0		-	M^(-1)*s^(-1)	ATP + L-Aspartate = ADP + 4-Phospho-L-aspartate
4556	11888289	Escherichia coli	P08660	aspartate kinase	2.7.2.4	Ki	L-Lysine	5.0E-4		2.0E-5	M	ATP + L-Aspartate = ADP + 4-Phospho-L-aspartate
4556	11888289	Escherichia coli	P08660	aspartate kinase	2.7.2.4	kcat		98.0		1.1	s^(-1)	ATP + L-Aspartate = ADP + 4-Phospho-L-aspartate
4556	11888289	Escherichia coli	P08660	aspartate kinase	2.7.2.4	Km	L-Aspartate	5.1E-4		2.0E-5	M	ATP + L-Aspartate = ADP + 4-Phospho-L-aspartate
4556	11888289	Escherichia coli	P08660	aspartate kinase	2.7.2.4	kcat/Km	L-Aspartate	190000.0		-	M^(-1)*s^(-1)	ATP + L-Aspartate = ADP + 4-Phospho-L-aspartate
4557	11888289	Escherichia coli		aspartate kinase	2.7.2.4	kcat/Km	L-Aspartate	310.0		-	M^(-1)*s^(-1)	ATP + L-Aspartate = ADP + 4-Phospho-L-aspartate
4557	11888289	Escherichia coli		aspartate kinase	2.7.2.4	Km	L-Aspartate	5.1E-4		1.0E-5	M	ATP + L-Aspartate = ADP + 4-Phospho-L-aspartate
4557	11888289	Escherichia coli		aspartate kinase	2.7.2.4	Ki	L-Lysine	7.8E-4		9.0E-5	M	ATP + L-Aspartate = ADP + 4-Phospho-L-aspartate
4557	11888289	Escherichia coli		aspartate kinase	2.7.2.4	kcat		0.16		0.02	s^(-1)	ATP + L-Aspartate = ADP + 4-Phospho-L-aspartate
4558	11888289	Escherichia coli	P00561	homoserine dehydrogenase	1.1.1.3	kcat		0.24		0.02	s^(-1)	NADP+ + L-Homoserine = H+ + NADPH + L-Aspartate 4-semialdehyde
4558	11888289	Escherichia coli	P00561	homoserine dehydrogenase	1.1.1.3	Km	L-Homoserine	0.0012		3.0E-4	M	NADP+ + L-Homoserine = H+ + NADPH + L-Aspartate 4-semialdehyde
4558	11888289	Escherichia coli	P00561	homoserine dehydrogenase	1.1.1.3	kcat/Km	L-Homoserine	210.0		-	M^(-1)*s^(-1)	NADP+ + L-Homoserine = H+ + NADPH + L-Aspartate 4-semialdehyde
4558	11888289	Escherichia coli	P00561	homoserine dehydrogenase	1.1.1.3	Ki	L-Threonine	2.3E-4		7.0E-5	M	NADP+ + L-Homoserine = H+ + NADPH + L-Aspartate 4-semialdehyde
4559	11888289	Escherichia coli		homoserine dehydrogenase	1.1.1.3	Km	L-Homoserine	6.8E-4		2.0E-5	M	NADP+ + L-Homoserine = H+ + NADPH + L-Aspartate 4-semialdehyde
4559	11888289	Escherichia coli		homoserine dehydrogenase	1.1.1.3	kcat/Km	L-Homoserine	4900.0		-	M^(-1)*s^(-1)	NADP+ + L-Homoserine = H+ + NADPH + L-Aspartate 4-semialdehyde
4559	11888289	Escherichia coli		homoserine dehydrogenase	1.1.1.3	kcat		3.3		0.02	s^(-1)	NADP+ + L-Homoserine = H+ + NADPH + L-Aspartate 4-semialdehyde
4559	11888289	Escherichia coli		homoserine dehydrogenase	1.1.1.3	Ki	L-Threonine	4.0E-5		1.0E-5	M	NADP+ + L-Homoserine = H+ + NADPH + L-Aspartate 4-semialdehyde
4560	11888289	Escherichia coli		homoserine dehydrogenase	1.1.1.3	kcat/Km	L-Homoserine	30.0		-	M^(-1)*s^(-1)	NADP+ + L-Homoserine = H+ + NADPH + L-Aspartate 4-semialdehyde
4560	11888289	Escherichia coli		homoserine dehydrogenase	1.1.1.3	Ki	L-Threonine	0.017		0.005	M	NADP+ + L-Homoserine = H+ + NADPH + L-Aspartate 4-semialdehyde
4560	11888289	Escherichia coli		homoserine dehydrogenase	1.1.1.3	Km	L-Homoserine	0.0172		0.0012	M	NADP+ + L-Homoserine = H+ + NADPH + L-Aspartate 4-semialdehyde
4560	11888289	Escherichia coli		homoserine dehydrogenase	1.1.1.3	kcat		0.51		0.1	s^(-1)	NADP+ + L-Homoserine = H+ + NADPH + L-Aspartate 4-semialdehyde
4561	11888289	Escherichia coli		homoserine dehydrogenase	1.1.1.3	Km	L-Homoserine	4.1E-4		9.0E-5	M	NADP+ + L-Homoserine = H+ + NADPH + L-Aspartate 4-semialdehyde
4561	11888289	Escherichia coli		homoserine dehydrogenase	1.1.1.3	Ki	L-Lysine	2.0E-5		3.0E-6	M	NADP+ + L-Homoserine = H+ + NADPH + L-Aspartate 4-semialdehyde
4561	11888289	Escherichia coli		homoserine dehydrogenase	1.1.1.3	kcat		24.0		7.0	s^(-1)	NADP+ + L-Homoserine = H+ + NADPH + L-Aspartate 4-semialdehyde
4561	11888289	Escherichia coli		homoserine dehydrogenase	1.1.1.3	Ki	L-Threonine	1.5E-4		1.0E-5	M	NADP+ + L-Homoserine = H+ + NADPH + L-Aspartate 4-semialdehyde
4561	11888289	Escherichia coli		homoserine dehydrogenase	1.1.1.3	kcat/Km	L-Homoserine	59000.0		-	M^(-1)*s^(-1)	NADP+ + L-Homoserine = H+ + NADPH + L-Aspartate 4-semialdehyde
4567	14767072	Escherichia coli	P00509	aspartate transaminase	2.6.1.1	kcat/Km	L-Tyrosine	0.055		3.0E-4	M^(-1)*s^(-1)	L-Tyrosine + 2-Oxoglutarate = L-Glutamate + 3-(4-Hydroxyphenyl)pyruvate
4567	14767072	Escherichia coli	P00509	aspartate transaminase	2.6.1.1	concentration	2-Oxoglutarate	0.002	0.04	-	M	L-Tyrosine + 2-Oxoglutarate = L-Glutamate + 3-(4-Hydroxyphenyl)pyruvate
4567	14767072	Escherichia coli	P00509	aspartate transaminase	2.6.1.1	concentration	L-Tyrosine	0.002		-	M	L-Tyrosine + 2-Oxoglutarate = L-Glutamate + 3-(4-Hydroxyphenyl)pyruvate
4571	12751797	Escherichia coli		pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	concentration	NAD+	0.0025		-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4571	12751797	Escherichia coli		pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	Vmax		6.26333333E-6		-	mol/s	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4571	12751797	Escherichia coli		pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	concentration	Pyruvate	0.0	0.001	-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4571	12751797	Escherichia coli		pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	concentration	Coenzyme A	1.0E-4		-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4571	12751797	Escherichia coli		pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	Km	Pyruvate	3.21E-4		-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4572	12751797	Escherichia coli		pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	Vmax		3.68166667E-6		-	mol/s	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4572	12751797	Escherichia coli		pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	concentration	Coenzyme A	1.0E-4		-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4572	12751797	Escherichia coli		pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	concentration	NAD+	0.0025		-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4572	12751797	Escherichia coli		pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	concentration	Pyruvate	0.0	0.001	-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4572	12751797	Escherichia coli		pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	Km	Pyruvate	3.56E-4		-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4573	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	concentration	Pyruvate	0.0	0.001	-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4573	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	Km	Pyruvate	4.2E-5		-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4573	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	concentration	NAD+	0.0025		-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4573	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	concentration	Coenzyme A	1.0E-4		-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4573	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	Vmax		2.4E-7		-	mol/s	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4574	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	Km	Pyruvate	3.7E-5		-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4574	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	concentration	NAD+	0.0025		-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4574	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	Vmax		1.18333333E-7		-	mol/s	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4574	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	concentration	Pyruvate	0.0	0.001	-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4574	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	concentration	Coenzyme A	1.0E-4		-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4575	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	Kd	Thiamine diphosphate	4.28E-6		-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4575	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	Vmax		9.68333333E-7		-	mol/s	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4575	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	concentration	Thiamine diphosphate	1.0E-7	2.0E-4	-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4575	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	concentration	Pyruvate	0.001		-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4575	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	concentration	Coenzyme A	1.0E-4		-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4575	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	concentration	NAD+	0.0025		-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4576	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	concentration	NAD+	0.0025		-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4576	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	concentration	Pyruvate	0.001		-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4576	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	concentration	Thiamine diphosphate	1.0E-7	2.0E-4	-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4576	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	concentration	Coenzyme A	1.0E-4		-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4576	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	Vmax		6.18333333E-7		-	mol/s	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4576	12751797	Escherichia coli	P0AFG8	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	Kd	Thiamine diphosphate	1.58E-6		-	M	NAD+ + Pyruvate + Coenzyme A = CO2 + Acetyl-CoA + H+ + NADH
4655	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	Km	ATP	2.3E-5		3.0E-6	M	ATP + H2O = Phosphate + ADP
4655	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	kcat		0.3		0.0166667	s^(-1)	ATP + H2O = Phosphate + ADP
4655	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	kcat/Km	ATP	13000.0		-	M^(-1)*s^(-1)	ATP + H2O = Phosphate + ADP
4655	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	concentration	Enzyme	2.0E-7		-	M	ATP + H2O = Phosphate + ADP
4655	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	concentration	ATP	0.0	2.0E-4	-	M	ATP + H2O = Phosphate + ADP
4656	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	concentration	Enzyme	2.0E-7		-	M	H2O + CTP = CDP + Phosphate
4656	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	Km	CTP	1.04E-4		1.0E-5	M	H2O + CTP = CDP + Phosphate
4656	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	kcat/Km	CTP	3000.0		-	M^(-1)*s^(-1)	H2O + CTP = CDP + Phosphate
4656	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	concentration	CTP	0.0	2.0E-4	-	M	H2O + CTP = CDP + Phosphate
4656	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	kcat		0.316666667		0.0166667	s^(-1)	H2O + CTP = CDP + Phosphate
4657	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	kcat/Km	GTP	66.6666667		-	M^(-1)*s^(-1)	H2O + GTP = GDP + Phosphate
4657	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	Km	GTP	0.0073		0.002	M	H2O + GTP = GDP + Phosphate
4657	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	concentration	Enzyme	2.0E-7		-	M	H2O + GTP = GDP + Phosphate
4657	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	concentration	GTP	0.0	2.0E-4	-	M	H2O + GTP = GDP + Phosphate
4657	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	kcat		0.533333333		0.0833333	s^(-1)	H2O + GTP = GDP + Phosphate
4658	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	Km	ATP	2.1E-5		3.0E-6	M	ATP + H2O = Phosphate + ADP
4658	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	concentration	Peptide	5.0E-5		-	M	ATP + H2O = Phosphate + ADP
4658	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	kcat		0.233333333		0.0166667	s^(-1)	ATP + H2O = Phosphate + ADP
4658	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	kcat/Km	ATP	11166.6667		-	M^(-1)*s^(-1)	ATP + H2O = Phosphate + ADP
4658	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	concentration	ATP	0.0	2.0E-4	-	M	ATP + H2O = Phosphate + ADP
4658	12962509	Escherichia coli	P0AAI3	Metalloendopeptidases	3.4.24	concentration	Enzyme	2.0E-7		-	M	ATP + H2O = Phosphate + ADP
4659	15938625	Escherichia coli	P45568	1-deoxy-D-xylulose-5-phosphate reductoisomerase	1.1.1.267	kcat/Km	1-Deoxy-D-xylulose 5-phosphate	644000.0		7000.0	M^(-1)*s^(-1)	NADP+ + 2-C-Methyl-D-erythritol 4-phosphate = NADPH + H+ + 1-Deoxy-D-xylulose 5-phosphate
4659	15938625	Escherichia coli	P45568	1-deoxy-D-xylulose-5-phosphate reductoisomerase	1.1.1.267	kcat		29.0		1.0	s^(-1)	NADP+ + 2-C-Methyl-D-erythritol 4-phosphate = NADPH + H+ + 1-Deoxy-D-xylulose 5-phosphate
4659	15938625	Escherichia coli	P45568	1-deoxy-D-xylulose-5-phosphate reductoisomerase	1.1.1.267	concentration	1-Deoxy-D-xylulose 5-phosphate	0.0	0.001	-	M	NADP+ + 2-C-Methyl-D-erythritol 4-phosphate = NADPH + H+ + 1-Deoxy-D-xylulose 5-phosphate
4659	15938625	Escherichia coli	P45568	1-deoxy-D-xylulose-5-phosphate reductoisomerase	1.1.1.267	Km	1-Deoxy-D-xylulose 5-phosphate	4.5E-5		4.0E-6	M	NADP+ + 2-C-Methyl-D-erythritol 4-phosphate = NADPH + H+ + 1-Deoxy-D-xylulose 5-phosphate
4659	15938625	Escherichia coli	P45568	1-deoxy-D-xylulose-5-phosphate reductoisomerase	1.1.1.267	concentration	Enzyme	2.0E-9		-	M	NADP+ + 2-C-Methyl-D-erythritol 4-phosphate = NADPH + H+ + 1-Deoxy-D-xylulose 5-phosphate
4659	15938625	Escherichia coli	P45568	1-deoxy-D-xylulose-5-phosphate reductoisomerase	1.1.1.267	concentration	NADPH	1.5E-4		-	M	NADP+ + 2-C-Methyl-D-erythritol 4-phosphate = NADPH + H+ + 1-Deoxy-D-xylulose 5-phosphate
4660	15938625	Escherichia coli	P45568	1-deoxy-D-xylulose-5-phosphate reductoisomerase	1.1.1.267	kcat		37.0		2.0	s^(-1)	H+ + NADPH + 1-Fluoro-1-deoxy-D-xylulose 5-phosphate = NADP+ + 2-C-Fluoromethyl-D-erythritol 4-phosphate
4660	15938625	Escherichia coli	P45568	1-deoxy-D-xylulose-5-phosphate reductoisomerase	1.1.1.267	Km	1-Fluoro-1-deoxy-D-xylulose 5-phosphate	2.27E-4		2.5E-5	M	H+ + NADPH + 1-Fluoro-1-deoxy-D-xylulose 5-phosphate = NADP+ + 2-C-Fluoromethyl-D-erythritol 4-phosphate
4660	15938625	Escherichia coli	P45568	1-deoxy-D-xylulose-5-phosphate reductoisomerase	1.1.1.267	concentration	1-Fluoro-1-deoxy-D-xylulose 5-phosphate	0.0	0.0025	-	M	H+ + NADPH + 1-Fluoro-1-deoxy-D-xylulose 5-phosphate = NADP+ + 2-C-Fluoromethyl-D-erythritol 4-phosphate
4660	15938625	Escherichia coli	P45568	1-deoxy-D-xylulose-5-phosphate reductoisomerase	1.1.1.267	concentration	Enzyme	2.0E-9		-	M	H+ + NADPH + 1-Fluoro-1-deoxy-D-xylulose 5-phosphate = NADP+ + 2-C-Fluoromethyl-D-erythritol 4-phosphate
4660	15938625	Escherichia coli	P45568	1-deoxy-D-xylulose-5-phosphate reductoisomerase	1.1.1.267	concentration	NADPH	1.5E-4		-	M	H+ + NADPH + 1-Fluoro-1-deoxy-D-xylulose 5-phosphate = NADP+ + 2-C-Fluoromethyl-D-erythritol 4-phosphate
4660	15938625	Escherichia coli	P45568	1-deoxy-D-xylulose-5-phosphate reductoisomerase	1.1.1.267	kcat/Km	1-Fluoro-1-deoxy-D-xylulose 5-phosphate	162000.0		2000.0	M^(-1)*s^(-1)	H+ + NADPH + 1-Fluoro-1-deoxy-D-xylulose 5-phosphate = NADP+ + 2-C-Fluoromethyl-D-erythritol 4-phosphate
4661	15938625	Escherichia coli	P45568	1-deoxy-D-xylulose-5-phosphate reductoisomerase	1.1.1.267	kcat		60.7833333		0.283333	s^(-1)	H+ + NADPH + 1-Fluoro-1-deoxy-D-xylulose 5-phosphate = NADP+ + 2-C-Fluoromethyl-D-erythritol 4-phosphate
