  Reactions   	  Enzymes of a reaction  	  Object ID  	  Object ID  	  Reaction-Direction  	  Substrates  	  Left  	  Right  
a 3-oxo-cis-vacc-11-enoyl-[acp] + NADPH + H+→ (R)-3-hydroxy-cis-vacc-11-enoyl-[acp] + NADP+	3-oxoacyl-[acyl-carrier-protein] reductase	CPLX0-8005	RXN-9556	PHYSIOL-RIGHT-TO-LEFT	"NADP+
(R)-3-hydroxy-cis-vacc-11-enoyl-[acp]
a 3-oxo-cis-vacc-11-enoyl-[acp]
NADPH
H+"	"(R)-3-hydroxy-cis-vacc-11-enoyl-[acp]
NADP+"	"a 3-oxo-cis-vacc-11-enoyl-[acp]
NADPH
H+"
a 3-oxo-decanoyl-[acp] + NADPH + H+→ a (3R)-3-hydroxydecanoyl-[acp] + NADP+	3-oxoacyl-[acyl-carrier-protein] reductase	CPLX0-8005	RXN-9528	PHYSIOL-RIGHT-TO-LEFT	"NADP+
a (3R)-3-hydroxydecanoyl-[acp]
a 3-oxo-decanoyl-[acp]
NADPH
H+"	"a (3R)-3-hydroxydecanoyl-[acp]
NADP+"	"a 3-oxo-decanoyl-[acp]
NADPH
H+"
a 3-oxo-dodecanoyl-[acp] + NADPH + H+→ a (3R)-3-hydroxydodecanoyl-[acp] + NADP+	3-oxoacyl-[acyl-carrier-protein] reductase	CPLX0-8005	RXN-9532	PHYSIOL-RIGHT-TO-LEFT	"NADP+
a (3R)-3-hydroxydodecanoyl-[acp]
a 3-oxo-dodecanoyl-[acp]
NADPH
H+"	"a (3R)-3-hydroxydodecanoyl-[acp]
NADP+"	"a 3-oxo-dodecanoyl-[acp]
NADPH
H+"
a 3-oxo-glutaryl-[acp] methyl ester + NADPH + H+→ a (3R)-3-hydroxyglutaryl-[acp] methyl ester + NADP+	3-oxoacyl-[acyl-carrier-protein] reductase	CPLX0-8005	RXN-11476	PHYSIOL-RIGHT-TO-LEFT	"NADP+
a (3R)-3-hydroxyglutaryl-[acp] methyl ester
a 3-oxo-glutaryl-[acp] methyl ester
NADPH
H+"	"a (3R)-3-hydroxyglutaryl-[acp] methyl ester
NADP+"	"a 3-oxo-glutaryl-[acp] methyl ester
NADPH
H+"
a 3-oxo-hexanoyl-[acp] + NADPH + H+→ a (3R)-3-hydroxyhexanoyl-[acp] + NADP+	3-oxoacyl-[acyl-carrier-protein] reductase	CPLX0-8005	RXN-9518	PHYSIOL-RIGHT-TO-LEFT	"NADP+
a (3R)-3-hydroxyhexanoyl-[acp]
a 3-oxo-hexanoyl-[acp]
NADPH
H+"	"a (3R)-3-hydroxyhexanoyl-[acp]
NADP+"	"a 3-oxo-hexanoyl-[acp]
NADPH
H+"
a 3-oxo-myristoyl-[acp] + NADPH + H+→ a (3R)-3-hydroxymyristoyl-[acp] + NADP+	3-oxoacyl-[acyl-carrier-protein] reductase	CPLX0-8005	RXN-9536	PHYSIOL-RIGHT-TO-LEFT	"NADP+
a (3R)-3-hydroxymyristoyl-[acp]
a 3-oxo-myristoyl-[acp]
NADPH
H+"	"a (3R)-3-hydroxymyristoyl-[acp]
NADP+"	"a 3-oxo-myristoyl-[acp]
NADPH
H+"
a 3-oxo-octanoyl-[acp] + NADPH + H+→ a (3R)-3-hydroxyoctanoyl-[acp] + NADP+	3-oxoacyl-[acyl-carrier-protein] reductase	CPLX0-8005	RXN-9524	PHYSIOL-RIGHT-TO-LEFT	"NADP+
a (3R)-3-hydroxyoctanoyl-[acp]
a 3-oxo-octanoyl-[acp]
NADPH
H+"	"a (3R)-3-hydroxyoctanoyl-[acp]
NADP+"	"a 3-oxo-octanoyl-[acp]
NADPH
H+"
a 3-oxo-palmitoyl-[acp] + NADPH + H+→ a (3R)-3-hydroxypalmitoyl-[acp] + NADP+	3-oxoacyl-[acyl-carrier-protein] reductase	CPLX0-8005	RXN-9540	PHYSIOL-RIGHT-TO-LEFT	"NADP+
a (3R)-3-hydroxypalmitoyl-[acp]
a 3-oxo-palmitoyl-[acp]
NADPH
H+"	"a (3R)-3-hydroxypalmitoyl-[acp]
NADP+"	"a 3-oxo-palmitoyl-[acp]
NADPH
H+"
a 3-oxo-pimeloyl-[acp] methyl ester + NADPH + H+→ a (3R)-3-hydroxypimeloyl-[acp] methyl ester + NADP+	3-oxoacyl-[acyl-carrier-protein] reductase	CPLX0-8005	RXN-11480	PHYSIOL-RIGHT-TO-LEFT	"NADP+
a (3R)-3-hydroxypimeloyl-[acp] methyl ester
a 3-oxo-pimeloyl-[acp] methyl ester
NADPH
H+"	"a (3R)-3-hydroxypimeloyl-[acp] methyl ester
NADP+"	"a 3-oxo-pimeloyl-[acp] methyl ester
NADPH
H+"
a 3-oxoacid + H+→ a methyl ketone + CO2			RXN-13248	LEFT-TO-RIGHT	"H+
a 3-oxoacid
a methyl ketone
CO2"	"a 3-oxoacid
H+"	"a methyl ketone
CO2"
a 3-oxoacyl-CoA + coenzyme A → a 2,3,4-saturated fatty acyl CoA + acetyl-CoA	"3-ketoacyl-CoA thiolase FadI
fatty acid oxidation complex, β component"	"G7213-MONOMER
FADA-CPLX"	KETOACYLCOATHIOL-RXN	PHYSIOL-RIGHT-TO-LEFT	"acetyl-CoA
a 2,3,4-saturated fatty acyl CoA
a 3-oxoacyl-CoA
coenzyme A"	"a 2,3,4-saturated fatty acyl CoA
acetyl-CoA"	"a 3-oxoacyl-CoA
coenzyme A"
a 3-oxoacyl-[acp] + NADPH + H+→ a (3R)-3-hydroxyacyl-[acyl-carrier protein] + NADP+	3-oxoacyl-[acyl-carrier-protein] reductase	CPLX0-8005	3-OXOACYL-ACP-REDUCT-RXN	PHYSIOL-RIGHT-TO-LEFT	"NADP+
a (3R)-3-hydroxyacyl-[acyl-carrier protein]
a 3-oxoacyl-[acp]
NADPH
H+"	"a (3R)-3-hydroxyacyl-[acyl-carrier protein]
NADP+"	"a 3-oxoacyl-[acp]
NADPH
H+"
a 5' triphospho-[mRNA] + H2O → a 5'-phospho-[mRNA] + diphosphate + H+	RNA pyrophosphohydrolase	G7459-MONOMER	RXN0-5510	LEFT-TO-RIGHT	"H2O
a 5' triphospho-[mRNA]
a 5'-phospho-[mRNA]
diphosphate
H+"	"a 5' triphospho-[mRNA]
H2O"	"a 5'-phospho-[mRNA]
diphosphate
H+"
a 5'-guanosyl [RNA ligase]-Nτ-phosphono-L-histidine + an [RNA]-3'-ribonucleoside-3'-phosphate + 2 H+→ an [RNA]-3'-ribonucleoside-3'-(5'-diphosphoguanosine) + an [RNA ligase]-L-histidine + H+	RNA-splicing ligase	G7751-MONOMER	RXN-17936	PHYSIOL-LEFT-TO-RIGHT	"an [RNA]-3'-ribonucleoside-3'-phosphate
a 5'-guanosyl [RNA ligase]-Nτ-phosphono-L-histidine
an [RNA]-3'-ribonucleoside-3'-(5'-diphosphoguanosine)
an [RNA ligase]-L-histidine
H+"	"a 5'-guanosyl [RNA ligase]-Nτ-phosphono-L-histidine
an [RNA]-3'-ribonucleoside-3'-phosphate
H+"	"an [RNA]-3'-ribonucleoside-3'-(5'-diphosphoguanosine)
an [RNA ligase]-L-histidine
H+"
a 5'-half-tRNA molecule with a 2',3'-cyclic phosphate end + a 3'-half-tRNA molecule with a 5'-OH end ↔ a ligated tRNA with a 2'-5' linkage	RNA 2',3'-cyclic phosphodiesterase	EG12330-MONOMER	RXN0-5062	REVERSIBLE	"a 3'-half-tRNA molecule with a 5'-OH end
a 5'-half-tRNA molecule with a 2',3'-cyclic phosphate end
a ligated tRNA with a 2'-5' linkage"	"a 5'-half-tRNA molecule with a 2',3'-cyclic phosphate end
a 3'-half-tRNA molecule with a 5'-OH end"	a ligated tRNA with a 2'-5' linkage
a 5'-phospho-[DNA] + ATP + H+→ an adenosine-5'-diphospho-5'-[DNA] + diphosphate	RNA 3'-terminal phosphate cyclase	G7750-MONOMER	RXN0-6556	LEFT-TO-RIGHT	"H+
ATP
a 5'-phospho-[DNA]
an adenosine-5'-diphospho-5'-[DNA]
diphosphate"	"a 5'-phospho-[DNA]
ATP
H+"	"an adenosine-5'-diphospho-5'-[DNA]
diphosphate"
a 5,10-methenyltetrahydrofolate + H2O → an (6S)-N5-formyl-tetrahydrofolate + H+	serine hydroxymethyltransferase	GLYOHMETRANS-CPLX	RXN-6321	PHYSIOL-LEFT-TO-RIGHT	"H2O
a 5,10-methenyltetrahydrofolate
an (6S)-N5-formyl-tetrahydrofolate
H+"	"a 5,10-methenyltetrahydrofolate
H2O"	"an (6S)-N5-formyl-tetrahydrofolate
H+"
a 5,10-methenyltetrahydrofolate + H2O ↔ an N10-formyl-tetrahydrofolate + H+	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	FOLD-CPLX	METHENYLTHFCYCLOHYDRO-RXN	REVERSIBLE	"H2O
a 5,10-methenyltetrahydrofolate
an N10-formyl-tetrahydrofolate
H+"	"a 5,10-methenyltetrahydrofolate
H2O"	"an N10-formyl-tetrahydrofolate
H+"
a 5,10-methylene-tetrahydrofolate + 3-methyl-2-oxobutanoate + H2O ↔ 2-dehydropantoate + a tetrahydrofolate	3-methyl-2-oxobutanoate hydroxymethyltransferase	3-METHYL-2-OXOBUT-OHCH3XFER-CPLX	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	REVERSIBLE	"H2O
3-methyl-2-oxobutanoate
a 5,10-methylene-tetrahydrofolate
2-dehydropantoate
a tetrahydrofolate"	"a 5,10-methylene-tetrahydrofolate
3-methyl-2-oxobutanoate
H2O"	"2-dehydropantoate
a tetrahydrofolate"
a 5,10-methylene-tetrahydrofolate + dUMP → dTMP + a 7,8-dihydrofolate	thymidylate synthase	THYMIDYLATESYN-CPLX	THYMIDYLATESYN-RXN	LEFT-TO-RIGHT	"dUMP
a 5,10-methylene-tetrahydrofolate
dTMP
a 7,8-dihydrofolate"	"a 5,10-methylene-tetrahydrofolate
dUMP"	"dTMP
a 7,8-dihydrofolate"
a 5,10-methylene-tetrahydrofolate + NADH + H+→ an N5-methyltetrahydrofolate + NAD+	5,10-methylenetetrahydrofolate reductase	METHYLENETHFREDUCT-CPLX	1.5.1.20-RXN	RIGHT-TO-LEFT	"NAD+
an N5-methyltetrahydrofolate
a 5,10-methylene-tetrahydrofolate
H+
NADH"	"an N5-methyltetrahydrofolate
NAD+"	"a 5,10-methylene-tetrahydrofolate
H+
NADH"
a 5,10-methylene-tetrahydrofolate + NADP+↔ a 5,10-methenyltetrahydrofolate + NADPH	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	FOLD-CPLX	METHYLENETHFDEHYDROG-NADP-RXN	REVERSIBLE	"NADP+
a 5,10-methylene-tetrahydrofolate
a 5,10-methenyltetrahydrofolate
NADPH"	"a 5,10-methylene-tetrahydrofolate
NADP+"	"a 5,10-methenyltetrahydrofolate
NADPH"
a 5-(carboxymethoxy)uridine34in tRNA + S-adenosyl-L-methionine → a 5-(methoxycarbonylmethoxy)uridine34in tRNA + S-adenosyl-L-homocysteine	tRNA cmo5U34 methyltransferase	EG12167-MONOMER	RXN0-7167	PHYSIOL-LEFT-TO-RIGHT	"S-adenosyl-L-methionine
a 5-(carboxymethoxy)uridine34in tRNA
a 5-(methoxycarbonylmethoxy)uridine34in tRNA
S-adenosyl-L-homocysteine"	"a 5-(carboxymethoxy)uridine34in tRNA
S-adenosyl-L-methionine"	"a 5-(methoxycarbonylmethoxy)uridine34in tRNA
S-adenosyl-L-homocysteine"
a 5-(methoxycarbonylmethoxy)uridine34in tRNA + S-adenosyl-L-methionine → a 5-(methoxycarbonylmethoxy)-2'-O-methyluridine34in tRNA + S-adenosyl-L-homocysteine + H+	tRNA (cytidine/uridine-2'-O)-ribose methyltransferase	CPLX0-7421	RXN0-7168	LEFT-TO-RIGHT	"S-adenosyl-L-methionine
a 5-(methoxycarbonylmethoxy)uridine34in tRNA
a 5-(methoxycarbonylmethoxy)-2'-O-methyluridine34in tRNA
S-adenosyl-L-homocysteine
H+"	"a 5-(methoxycarbonylmethoxy)uridine34in tRNA
S-adenosyl-L-methionine"	"a 5-(methoxycarbonylmethoxy)-2'-O-methyluridine34in tRNA
S-adenosyl-L-homocysteine
H+"
a 5-aminomethyl-2-thiouridine in tRNA + S-adenosyl-L-methionine → S-adenosyl-L-homocysteine + a 5-methylaminomethyl-2-thiouridine in tRNA + H+	fused 5-methylaminomethyl-2-thiouridine-forming methyltransferase and FAD-dependent demodification enzyme	G7199-MONOMER	RXN0-5144	PHYSIOL-LEFT-TO-RIGHT	"S-adenosyl-L-methionine
a 5-aminomethyl-2-thiouridine in tRNA
S-adenosyl-L-homocysteine
a 5-methylaminomethyl-2-thiouridine in tRNA
H+"	"a 5-aminomethyl-2-thiouridine in tRNA
S-adenosyl-L-methionine"	"S-adenosyl-L-homocysteine
a 5-methylaminomethyl-2-thiouridine in tRNA
H+"
a 5-carboxymethylaminomethyl-2-thiouridine in tRNA → a 5-aminomethyl-2-thiouridine in tRNA + glyoxylate	fused 5-methylaminomethyl-2-thiouridine-forming methyltransferase and FAD-dependent demodification enzyme	G7199-MONOMER	RXN0-7081	LEFT-TO-RIGHT	"a 5-carboxymethylaminomethyl-2-thiouridine in tRNA
a 5-aminomethyl-2-thiouridine in tRNA
glyoxylate"	a 5-carboxymethylaminomethyl-2-thiouridine in tRNA	"a 5-aminomethyl-2-thiouridine in tRNA
glyoxylate"
a 5-carboxymethylaminomethyluridine34in tRNALeu+ S-adenosyl-L-methionine → a 5-carboxymethylaminomethyl-2'-O-methyluridine34in tRNALeu+ S-adenosyl-L-homocysteine + H+	tRNA (cytidine/uridine-2'-O)-ribose methyltransferase	CPLX0-7421	RXN-11865	PHYSIOL-LEFT-TO-RIGHT	"S-adenosyl-L-methionine
a 5-carboxymethylaminomethyluridine34in tRNALeu
a 5-carboxymethylaminomethyl-2'-O-methyluridine34in tRNALeu
S-adenosyl-L-homocysteine
H+"	"a 5-carboxymethylaminomethyluridine34in tRNALeu
S-adenosyl-L-methionine"	"a 5-carboxymethylaminomethyl-2'-O-methyluridine34in tRNALeu
S-adenosyl-L-homocysteine
H+"
a 5-hydroxyuridine34in tRNA + S-adenosyl-S-carboxymethyl-L-homocystein → a 5-(carboxymethoxy)uridine34in tRNA + S-adenosyl-L-homocysteine + H+	tRNA U34 carboxymethyltransferase	CPLX0-8190	RXN0-7067	LEFT-TO-RIGHT	"S-adenosyl-S-carboxymethyl-L-homocystein
a 5-hydroxyuridine34in tRNA
a 5-(carboxymethoxy)uridine34in tRNA
S-adenosyl-L-homocysteine
H+"	"a 5-hydroxyuridine34in tRNA
S-adenosyl-S-carboxymethyl-L-homocystein"	"a 5-(carboxymethoxy)uridine34in tRNA
S-adenosyl-L-homocysteine
H+"
a 5-L-glutamyl-[peptide][periplasm]+ an amino acid[periplasm]→ a 5-L-glutamyl-amino acid[periplasm]+ a peptide[periplasm]	γ-glutamyltranspeptidase	CPLX0-7885	GAMMA-GLUTAMYLTRANSFERASE-RXN	LEFT-TO-RIGHT	"an amino acid
a 5-L-glutamyl-[peptide]
a 5-L-glutamyl-amino acid
a peptide"	"a 5-L-glutamyl-[peptide]
an amino acid"	"a 5-L-glutamyl-amino acid
a peptide"
a 5-methylaminomethyl-2-thiouridine in tRNA + selenophosphate → a 5-methylaminomethyl-2-selenouridine in tRNA + thiophosphate	tRNA 2-selenouridine synthase	EG11768-MONOMER	RXN0-2281	LEFT-TO-RIGHT	"selenophosphate
a 5-methylaminomethyl-2-thiouridine in tRNA
a 5-methylaminomethyl-2-selenouridine in tRNA
thiophosphate"	"a 5-methylaminomethyl-2-thiouridine in tRNA
selenophosphate"	"a 5-methylaminomethyl-2-selenouridine in tRNA
thiophosphate"
a 6,7-dihydropteridine + NAD(P)H + H+→ a 5,6,7,8-tetrahydropteridine + NAD(P)+	"nitric oxide dioxygenase
NAD(P)H nitroreductase NfsB"	"EG10456-MONOMER
DIHYDROPTERIREDUCT-CPLX"	1.5.1.34-RXN	PHYSIOL-RIGHT-TO-LEFT	"NAD(P)+
a 5,6,7,8-tetrahydropteridine
a 6,7-dihydropteridine
NAD(P)H
H+"	"a 5,6,7,8-tetrahydropteridine
NAD(P)+"	"a 6,7-dihydropteridine
NAD(P)H
H+"
a 7,8-dihydro-8-oxoguanine in DNA + H2O → 7,8-dihydro-8-oxoguanine + an apurinic site within DNA	DNA-formamidopyrimidine glycosylase	EG10329-MONOMER	RXN-18435	PHYSIOL-LEFT-TO-RIGHT	"H2O
a 7,8-dihydro-8-oxoguanine in DNA
7,8-dihydro-8-oxoguanine
an apurinic site within DNA"	"a 7,8-dihydro-8-oxoguanine in DNA
H2O"	"7,8-dihydro-8-oxoguanine
an apurinic site within DNA"
a 7,8-dihydrofolate + NADPH + H+→ a tetrahydrofolate + NADP+	"dihydromonapterin reductase
dihydrofolate reductase"	"G6862-MONOMER
DIHYDROFOLATEREDUCT-MONOMER"	DIHYDROFOLATEREDUCT-RXN	PHYSIOL-RIGHT-TO-LEFT	"NADP+
a tetrahydrofolate
a 7,8-dihydrofolate
NADPH
H+"	"a tetrahydrofolate
NADP+"	"a 7,8-dihydrofolate
NADPH
H+"
a 7-aminomethyl-7-deazaguanosine34in tRNA + S-adenosyl-L-methionine → an epoxyqueuosine34in tRNA + adenine + L-methionine + H+	tRNA preQ134S-adenosylmethionine ribosyltransferase-isomerase	EG10812-MONOMER	RXN0-1342	LEFT-TO-RIGHT	"S-adenosyl-L-methionine
a 7-aminomethyl-7-deazaguanosine34in tRNA
an epoxyqueuosine34in tRNA
adenine
L-methionine
H+"	"a 7-aminomethyl-7-deazaguanosine34in tRNA
S-adenosyl-L-methionine"	"an epoxyqueuosine34in tRNA
adenine
L-methionine
H+"
a 9S rRNA + 2 H2O → a 5S rRNA + 2 an rRNA fragment	RNase E	CPLX0-3461	RXN0-6522	PHYSIOL-LEFT-TO-RIGHT	"H2O
a 9S rRNA
a 5S rRNA
an rRNA fragment"	"a 9S rRNA
H2O"	"a 5S rRNA
an rRNA fragment"
a b-type cytochrome + a menaquinone oxidoreductase (demethylmenaquinol) → a reduced b-type cytochrome + a menaquinone oxidoreductase (demethylmenaquinone)			DMKCYT-RXN	LEFT-TO-RIGHT	"a menaquinone oxidoreductase (demethylmenaquinol)
a b-type cytochrome
a reduced b-type cytochrome
a menaquinone oxidoreductase (demethylmenaquinone)"	"a b-type cytochrome
a menaquinone oxidoreductase (demethylmenaquinol)"	"a reduced b-type cytochrome
a menaquinone oxidoreductase (demethylmenaquinone)"
a b-type cytochrome + a menaquinone oxidoreductase (menaquinol-8) → a reduced b-type cytochrome + a menaquinone oxidoreductase (menaquinone-8)			MENCYT-RXN	LEFT-TO-RIGHT	"a menaquinone oxidoreductase (menaquinol-8)
a b-type cytochrome
a reduced b-type cytochrome
a menaquinone oxidoreductase (menaquinone-8)"	"a b-type cytochrome
a menaquinone oxidoreductase (menaquinol-8)"	"a reduced b-type cytochrome
a menaquinone oxidoreductase (menaquinone-8)"
a β-D glucoside[periplasm]+ H2O[periplasm]→ a non glucosylated D-glucose acceptor[periplasm]+ D-glucopyranose[periplasm]	β-D-glucoside glucohydrolase, periplasmic	EG12013-MONOMER	3.2.1.21-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
a β-D glucoside
a non glucosylated D-glucose acceptor
D-glucopyranose"	"a β-D glucoside
H2O"	"a non glucosylated D-glucose acceptor
D-glucopyranose"
a β-D-galactoside + acetyl-CoA = a 6-acetyl-β-D-galactoside + coenzyme A	galactoside O-acetyltransferase	GALACTOACETYLTRAN-CPLX	GALACTOACETYLTRAN-RXN		"acetyl-CoA
a β-D-galactoside
a 6-acetyl-β-D-galactoside
coenzyme A"	"a β-D-galactoside
acetyl-CoA"	"a 6-acetyl-β-D-galactoside
coenzyme A"
a β-D-glucuronoside + H2O → D-glucopyranuronate + an alcohol	β-D-glucuronidase	CPLX0-7662	BETA-GLUCURONID-RXN	PHYSIOL-LEFT-TO-RIGHT	"a β-D-glucuronoside
H2O
D-glucopyranuronate
an alcohol"	"H2O
a β-D-glucuronoside"	"D-glucopyranuronate
an alcohol"
a β-lactam[periplasm]+ H2O[periplasm]→ a substituted β-amino acid[periplasm]	"murein DD-carboxypeptidase
β-lactamase"	"EG10201-MONOMER
EG10040-MONOMER"	BETA-LACTAMASE-RXN	LEFT-TO-RIGHT	"a β-lactam
H2O
a substituted β-amino acid"	"H2O
a β-lactam"	a substituted β-amino acid
a butanoyl-[acp] + a malonyl-[acp] + H+→ a 3-oxo-hexanoyl-[acp] + CO2+ a holo-[acyl-carrier protein]	β-ketoacyl-[acyl carrier protein] synthase I	FABB-CPLX	RXN-9516	LEFT-TO-RIGHT	"H+
a malonyl-[acp]
a butanoyl-[acp]
a 3-oxo-hexanoyl-[acp]
CO2
a holo-[acyl-carrier protein]"	"a butanoyl-[acp]
a malonyl-[acp]
H+"	"a 3-oxo-hexanoyl-[acp]
CO2
a holo-[acyl-carrier protein]"
a C4-dicarboxylate[periplasm]+ 2 H+[periplasm]→ a C4-dicarboxylate[cytosol]+ 2 H+[cytosol]	C4 dicarboxylate/orotate:H+symporter	DCTA-MONOMER	TRANS-RXN0-517	LEFT-TO-RIGHT	"H+
a C4-dicarboxylate"	"a C4-dicarboxylate
H+"	"H+
a C4-dicarboxylate"
a carboxy-adenylated [small subunit of molybdopterin synthase] + an [L-cysteine desulfurase] L-cysteine persulfide + a reduced electron acceptor → a thiocarboxylated [small subunit of molybdopterin synthase] + an [L-cysteine desulfurase]-L-cysteine + AMP + an oxidized electron acceptor + H+	molybdopterin synthase sulfurtransferase	G6952-MONOMER	RXN-12473	LEFT-TO-RIGHT	"a reduced electron acceptor
an [L-cysteine desulfurase] L-cysteine persulfide
a carboxy-adenylated [small subunit of molybdopterin synthase]
a thiocarboxylated [small subunit of molybdopterin synthase]
an [L-cysteine desulfurase]-L-cysteine
AMP
an oxidized electron acceptor
H+"	"a carboxy-adenylated [small subunit of molybdopterin synthase]
an [L-cysteine desulfurase] L-cysteine persulfide
a reduced electron acceptor"	"a thiocarboxylated [small subunit of molybdopterin synthase]
an [L-cysteine desulfurase]-L-cysteine
AMP
an oxidized electron acceptor
H+"
a carboxylic ester + H2O → an alcohol + a carboxylate + H+	"carboxylesterase
pimeloyl-acyl carrier protein methyl ester esterase"	"CPLX0-8214
EG10122-MONOMER"	CARBOXYLESTERASE-RXN	PHYSIOL-LEFT-TO-RIGHT	"H2O
a carboxylic ester
an alcohol
a carboxylate
H+"	"a carboxylic ester
H2O"	"an alcohol
a carboxylate
H+"
a CDP-diacylglycerol + H2O → a 1,2-diacyl-sn-glycerol 3-phosphate + CMP + 2 H+	CDP-diacylglycerol diphosphatase	CDPDIGLYPYPHOSPHA-MONOMER	CDPDIGLYPYPHOSPHA-RXN	LEFT-TO-RIGHT	"H2O
a CDP-diacylglycerol
a 1,2-diacyl-sn-glycerol 3-phosphate
CMP
H+"	"a CDP-diacylglycerol
H2O"	"a 1,2-diacyl-sn-glycerol 3-phosphate
CMP
H+"
a CDP-diacylglycerol + L-serine ↔ CMP + a 3-O-sn-phosphatidyl-L-serine + H+	phosphatidylserine synthase	PHOSPHASERSYN-CPLX	PHOSPHASERSYN-RXN	REVERSIBLE	"L-serine
a CDP-diacylglycerol
CMP
a 3-O-sn-phosphatidyl-L-serine
H+"	"a CDP-diacylglycerol
L-serine"	"CMP
a 3-O-sn-phosphatidyl-L-serine
H+"
a CDP-diacylglycerol + sn-glycerol 3-phosphate → CMP + 1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate + H+	phosphatidylglycerophosphate synthase	PHOSPHAGLYPSYN-MONOMER	PHOSPHAGLYPSYN-RXN	PHYSIOL-LEFT-TO-RIGHT	"sn-glycerol 3-phosphate
a CDP-diacylglycerol
CMP
1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate
H+"	"a CDP-diacylglycerol
sn-glycerol 3-phosphate"	"CMP
1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate
H+"
a cis-3-enoyl-CoA ↔ a trans-2-enoyl-CoA	"fatty acid oxidation complex, α component
3-hydroxyacyl-CoA dehydrogenase FadJ"	"FADB-CPLX
G7212-MONOMER"	ENOYL-COA-DELTA-ISOM-RXN	REVERSIBLE	"a cis-3-enoyl-CoA
a trans-2-enoyl-CoA"	a cis-3-enoyl-CoA	a trans-2-enoyl-CoA
a cis-Δ7-tetradecenoyl-[acp] + a malonyl-[acp] + H+→ a 3-oxo-cis-Δ9-hexadecenoyl-[acp] + a holo-[acyl-carrier protein] + CO2	β-ketoacyl-[acyl carrier protein] synthase I	FABB-CPLX	RXN-10658	LEFT-TO-RIGHT	"H+
a malonyl-[acp]
a cis-Δ7-tetradecenoyl-[acp]
a 3-oxo-cis-Δ9-hexadecenoyl-[acp]
a holo-[acyl-carrier protein]
CO2"	"a cis-Δ7-tetradecenoyl-[acp]
a malonyl-[acp]
H+"	"a 3-oxo-cis-Δ9-hexadecenoyl-[acp]
a holo-[acyl-carrier protein]
CO2"
a cis-vaccenoyl-[acp] + 1-cis-vaccenoylglycerol-3-phosphate → 1,2-dicis-vaccenoyl-phosphatidate + a holo-[acyl-carrier protein]			RXN-17015	PHYSIOL-LEFT-TO-RIGHT	"1-cis-vaccenoylglycerol-3-phosphate
a cis-vaccenoyl-[acp]
1,2-dicis-vaccenoyl-phosphatidate
a holo-[acyl-carrier protein]"	"a cis-vaccenoyl-[acp]
1-cis-vaccenoylglycerol-3-phosphate"	"1,2-dicis-vaccenoyl-phosphatidate
a holo-[acyl-carrier protein]"
a cis-vaccenoyl-[acp] + 1-palmitoylglycerol 3-phosphate → 1-palmitoyl-2-cis-vaccenoyl phosphatidate + a holo-[acyl-carrier protein]			RXN-17014	PHYSIOL-LEFT-TO-RIGHT	"1-palmitoylglycerol 3-phosphate
a cis-vaccenoyl-[acp]
1-palmitoyl-2-cis-vaccenoyl phosphatidate
a holo-[acyl-carrier protein]"	"a cis-vaccenoyl-[acp]
1-palmitoylglycerol 3-phosphate"	"1-palmitoyl-2-cis-vaccenoyl phosphatidate
a holo-[acyl-carrier protein]"
a cis-vaccenoyl-[acp] + sn-glycerol 3-phosphate → 1-cis-vaccenoylglycerol-3-phosphate + a holo-[acyl-carrier protein]	glycerol-3-phosphate 1-O-acyltransferase	GLYCEROL-3-P-ACYLTRANSFER-MONOMER	RXN-17016	PHYSIOL-LEFT-TO-RIGHT	"sn-glycerol 3-phosphate
a cis-vaccenoyl-[acp]
1-cis-vaccenoylglycerol-3-phosphate
a holo-[acyl-carrier protein]"	"a cis-vaccenoyl-[acp]
sn-glycerol 3-phosphate"	"1-cis-vaccenoylglycerol-3-phosphate
a holo-[acyl-carrier protein]"
a cis-vaccenoyl-[acp][periplasm]+ H2O[periplasm]→ cis-vaccenate[periplasm]+ a holo-[acyl-carrier protein][periplasm]+ H+[periplasm]	multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1	CPLX0-7630	RXN-9555	PHYSIOL-LEFT-TO-RIGHT	"H2O
a cis-vaccenoyl-[acp]
cis-vaccenate
a holo-[acyl-carrier protein]
H+"	"a cis-vaccenoyl-[acp]
H2O"	"cis-vaccenate
a holo-[acyl-carrier protein]
H+"
a citryl-[holocitrate lyase acyl-carrier protein] → oxaloacetate + an acetyl-[holocitrate lyase acyl-carrier protein] + H+	citrate lyase	ACECITLY-CPLX	CITRYLY-RXN	LEFT-TO-RIGHT	"a citryl-[holocitrate lyase acyl-carrier protein]
oxaloacetate
an acetyl-[holocitrate lyase acyl-carrier protein]
H+"	a citryl-[holocitrate lyase acyl-carrier protein]	"oxaloacetate
an acetyl-[holocitrate lyase acyl-carrier protein]
H+"
