"Reactions"	"Enzymes of a reaction"	"Object ID"	"Object ID"	"Reaction-Direction"	"Substrates"	"Left"	"Right"	"Object ID"	"Object ID"
TRANS-RXN-113	KDGT-MONOMER	"KDGT-MONOMER"	"TRANS-RXN-113"	LEFT-TO-RIGHT	PROTON // 2-DEHYDRO-3-DEOXY-D-GLUCONATE	PROTON // 2-DEHYDRO-3-DEOXY-D-GLUCONATE	PROTON // 2-DEHYDRO-3-DEOXY-D-GLUCONATE	"PROTON" // "2-DEHYDRO-3-DEOXY-D-GLUCONATE"	"PROTON" // "2-DEHYDRO-3-DEOXY-D-GLUCONATE"
RXN-18392	""	""	"RXN-18392"	REVERSIBLE	CPD-19753 // KDO	CPD-19753	KDO	"CPD-19753"	"KDO"
RXN0-5433	CPLX0-7723	"CPLX0-7723"	"RXN0-5433"	REVERSIBLE	DEHYDRO-3-DEOXY-L-RHAMNONATE // PYRUVATE // LACTALD	DEHYDRO-3-DEOXY-L-RHAMNONATE	PYRUVATE // LACTALD	"DEHYDRO-3-DEOXY-L-RHAMNONATE"	"PYRUVATE" // "LACTALD"
2-DEHYDROPANTOATE-REDUCT-RXN	CPLX0-7643 // 2-DEHYDROPANTOATE-REDUCT-MONOMER	"CPLX0-7643" // "2-DEHYDROPANTOATE-REDUCT-MONOMER"	"2-DEHYDROPANTOATE-REDUCT-RXN"	RIGHT-TO-LEFT	NADP // L-PANTOATE // PROTON // 2-DEHYDROPANTOATE // NADPH	L-PANTOATE // NADP	PROTON // 2-DEHYDROPANTOATE // NADPH	"L-PANTOATE" // "NADP"	"PROTON" // "2-DEHYDROPANTOATE" // "NADPH"
D-PPENTOMUT-RXN	PPENTOMUT-MONOMER	"PPENTOMUT-MONOMER"	"D-PPENTOMUT-RXN"	REVERSIBLE	DEOXY-D-RIBOSE-1-PHOSPHATE // DEOXY-RIBOSE-5P	DEOXY-D-RIBOSE-1-PHOSPHATE	DEOXY-RIBOSE-5P	"DEOXY-D-RIBOSE-1-PHOSPHATE"	"DEOXY-RIBOSE-5P"
3.1.3.68-RXN	ALKAPHOSPHA-CPLX // G6932-MONOMER	"ALKAPHOSPHA-CPLX" // "G6932-MONOMER"	"3.1.3.68-RXN"	PHYSIOL-LEFT-TO-RIGHT	2-DEOXY-D-GLUCOSE-6-PHOSPHATE // WATER // Pi // 2-DEOXY-D-GLUCOSE	WATER // 2-DEOXY-D-GLUCOSE-6-PHOSPHATE	Pi // 2-DEOXY-D-GLUCOSE	"WATER" // "2-DEOXY-D-GLUCOSE-6-PHOSPHATE"	"Pi" // "2-DEOXY-D-GLUCOSE"
TRANS-RXN0-540	CPLX-165	"CPLX-165"	"TRANS-RXN0-540"	PHYSIOL-LEFT-TO-RIGHT	PTSH-PHOSPHORYLATED // 2-DEOXY-D-GLUCOSE // 2-DEOXY-D-GLUCOSE-6-PHOSPHATE // PTSH-MONOMER	2-DEOXY-D-GLUCOSE // PTSH-PHOSPHORYLATED	2-DEOXY-D-GLUCOSE-6-PHOSPHATE // PTSH-MONOMER	"2-DEOXY-D-GLUCOSE" // "PTSH-PHOSPHORYLATED"	"2-DEOXY-D-GLUCOSE-6-PHOSPHATE" // "PTSH-MONOMER"
DEOXYRIBOSE-P-ALD-RXN	DEOXYRIBOSE-P-ALD-MONOMER	"DEOXYRIBOSE-P-ALD-MONOMER"	"DEOXYRIBOSE-P-ALD-RXN"	REVERSIBLE	DEOXY-RIBOSE-5P // ACETALD // GAP	DEOXY-RIBOSE-5P	ACETALD // GAP	"DEOXY-RIBOSE-5P"	"ACETALD" // "GAP"
KDUD-RXN	""	""	"KDUD-RXN"	PHYSIOL-LEFT-TO-RIGHT	DE-O-GLUCONATE // NAD // PROTON // NADH // DE-O-K-GLUCONATE	NAD // DE-O-GLUCONATE	PROTON // NADH // DE-O-K-GLUCONATE	"NAD" // "DE-O-GLUCONATE"	"PROTON" // "NADH" // "DE-O-K-GLUCONATE"
RXN0-6957	G6954-MONOMER	"G6954-MONOMER"	"RXN0-6957"	LEFT-TO-RIGHT	WATER // CPD-13851 // CPD-13852 // PPI // PROTON	CPD-13851 // WATER	CPD-13852 // PPI // PROTON	"CPD-13851" // "WATER"	"CPD-13852" // "PPI" // "PROTON"
RXN0-7103	CPLX0-8127	"CPLX0-8127"	"RXN0-7103"	PHYSIOL-LEFT-TO-RIGHT	WATER // CPD0-2558 // CPD0-2559 // CO-A // PROTON	CPD0-2558 // WATER	CPD0-2559 // CO-A // PROTON	"CPD0-2558" // "WATER"	"CPD0-2559" // "CO-A" // "PROTON"
RXN0-6256	CPLX0-7917 // CPLX0-7806	"CPLX0-7917" // "CPLX0-7806"	"RXN0-6256"	PHYSIOL-LEFT-TO-RIGHT	GLUTATHIONE // CPD0-1885 // 2-MERCAPTOETHANOL // OXIDIZED-GLUTATHIONE	CPD0-1885 // GLUTATHIONE	2-MERCAPTOETHANOL // OXIDIZED-GLUTATHIONE	"CPD0-1885" // "GLUTATHIONE"	"2-MERCAPTOETHANOL" // "OXIDIZED-GLUTATHIONE"
RXN-8645	""	""	"RXN-8645"	REVERSIBLE	NAD // 2-HYDROXYGLUTARIC_ACID // PROTON // 2-KETOGLUTARATE // NADH	2-HYDROXYGLUTARIC_ACID // NAD	PROTON // 2-KETOGLUTARATE // NADH	"2-HYDROXYGLUTARIC_ACID" // "NAD"	"PROTON" // "2-KETOGLUTARATE" // "NADH"
RXN-13329	""	""	"RXN-13329"	LEFT-TO-RIGHT	WATER // CPD-12279 // PROTON // GLYOX // AMMONIUM	PROTON // CPD-12279 // WATER	GLYOX // AMMONIUM	"PROTON" // "CPD-12279" // "WATER"	"GLYOX" // "AMMONIUM"
RXN-15123	""	""	"RXN-15123"	PHYSIOL-LEFT-TO-RIGHT	WATER // CPD-16013 // PROTON // 2-OXOBUTANOATE // AMMONIUM	PROTON // CPD-16013 // WATER	2-OXOBUTANOATE // AMMONIUM	"PROTON" // "CPD-16013" // "WATER"	"2-OXOBUTANOATE" // "AMMONIUM"
RXN-15127	""	""	"RXN-15127"	PHYSIOL-LEFT-TO-RIGHT	WATER // CPD-16015 // PROTON // PYRUVATE // AMMONIUM	PROTON // CPD-16015 // WATER	PYRUVATE // AMMONIUM	"PROTON" // "CPD-16015" // "WATER"	"PYRUVATE" // "AMMONIUM"
QUINOLINATE-SYNTHA-RXN	CPLX0-7719	"CPLX0-7719"	"QUINOLINATE-SYNTHA-RXN"	LEFT-TO-RIGHT	DIHYDROXY-ACETONE-PHOSPHATE // IMINOASPARTATE // QUINOLINATE // WATER // Pi	IMINOASPARTATE // DIHYDROXY-ACETONE-PHOSPHATE	QUINOLINATE // WATER // Pi	"IMINOASPARTATE" // "DIHYDROXY-ACETONE-PHOSPHATE"	"QUINOLINATE" // "WATER" // "Pi"
3-ISOPROPYLMALISOM-RXN	3-ISOPROPYLMALISOM-CPLX	"3-ISOPROPYLMALISOM-CPLX"	"3-ISOPROPYLMALISOM-RXN"	REVERSIBLE	WATER // CPD-9451 // 3-CARBOXY-3-HYDROXY-ISOCAPROATE	CPD-9451 // WATER	3-CARBOXY-3-HYDROXY-ISOCAPROATE	"CPD-9451" // "WATER"	"3-CARBOXY-3-HYDROXY-ISOCAPROATE"
1.1.1.215-RXN	CPLX0-235	"CPLX0-235"	"1.1.1.215-RXN"	RIGHT-TO-LEFT	GLUCONATE // NADP // PROTON // CPD-377 // NADPH	NADP // GLUCONATE	PROTON // CPD-377 // NADPH	"NADP" // "GLUCONATE"	"PROTON" // "CPD-377" // "NADPH"
RXN0-7021	CPLX0-235	"CPLX0-235"	"RXN0-7021"	PHYSIOL-RIGHT-TO-LEFT	NADP // L-IDONATE // CPD-13059 // NADPH // PROTON	L-IDONATE // NADP	CPD-13059 // NADPH // PROTON	"L-IDONATE" // "NADP"	"CPD-13059" // "NADPH" // "PROTON"
TDCEACT1-RXN	PFLACTENZ-MONOMER	"PFLACTENZ-MONOMER"	"TDCEACT1-RXN"		S-ADENOSYLMETHIONINE // Reduced-flavodoxins // KETOBUTFORMLY-INACT-MONOMER // CH33ADO // KETOBUTFORMLY-MONOMER // Oxidized-flavodoxins	KETOBUTFORMLY-INACT-MONOMER // Reduced-flavodoxins // S-ADENOSYLMETHIONINE	CH33ADO // KETOBUTFORMLY-MONOMER // Oxidized-flavodoxins	"KETOBUTFORMLY-INACT-MONOMER" // "Reduced-flavodoxins" // "S-ADENOSYLMETHIONINE"	"CH33ADO" // "KETOBUTFORMLY-MONOMER" // "Oxidized-flavodoxins"
2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN	OCTAPRENYL-METHOXYPHENOL-OH-MONOMER	"OCTAPRENYL-METHOXYPHENOL-OH-MONOMER"	"2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN"	PHYSIOL-LEFT-TO-RIGHT	PROTON // NADPH // OXYGEN-MOLECULE // 2-OCTAPRENYL-6-METHOXYPHENOL // OCTAPRENYL-METHOXY-BENZOQUINONE // WATER // NADP	2-OCTAPRENYL-6-METHOXYPHENOL // OXYGEN-MOLECULE // NADPH // PROTON	OCTAPRENYL-METHOXY-BENZOQUINONE // WATER // NADP	"2-OCTAPRENYL-6-METHOXYPHENOL" // "OXYGEN-MOLECULE" // "NADPH" // "PROTON"	"OCTAPRENYL-METHOXY-BENZOQUINONE" // "WATER" // "NADP"
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	"2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER"	"2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN"	PHYSIOL-LEFT-TO-RIGHT	S-ADENOSYLMETHIONINE // OCTAPRENYL-METHOXY-BENZOQUINONE // PROTON // OCTAPRENYL-METHYL-METHOXY-BENZQ // ADENOSYL-HOMO-CYS	OCTAPRENYL-METHOXY-BENZOQUINONE // S-ADENOSYLMETHIONINE	PROTON // OCTAPRENYL-METHYL-METHOXY-BENZQ // ADENOSYL-HOMO-CYS	"OCTAPRENYL-METHOXY-BENZOQUINONE" // "S-ADENOSYLMETHIONINE"	"PROTON" // "OCTAPRENYL-METHYL-METHOXY-BENZQ" // "ADENOSYL-HOMO-CYS"
RXN0-5387	G7868-MONOMER	"G7868-MONOMER"	"RXN0-5387"	PHYSIOL-LEFT-TO-RIGHT	PROTON // NADPH // CPD0-1156 // CPD0-1157 // NADP	CPD0-1156 // NADPH // PROTON	CPD0-1157 // NADP	"CPD0-1156" // "NADPH" // "PROTON"	"CPD0-1157" // "NADP"
RXN-17954	CPLX0-7958	"CPLX0-7958"	"RXN-17954"	LEFT-TO-RIGHT	ATP // CPD0-2518 // CPD-19235 // ADENINE	CPD0-2518 // ATP	CPD-19235 // ADENINE	"CPD0-2518" // "ATP"	"CPD-19235" // "ADENINE"
TRANS-RXN-273	B1791-MONOMER	"B1791-MONOMER"	"TRANS-RXN-273"	PHYSIOL-LEFT-TO-RIGHT	CPD-14545	CPD-14545	CPD-14545	"CPD-14545"	"CPD-14545"
RXN0-5216	EG13236-MONOMER	"EG13236-MONOMER"	"RXN0-5216"	PHYSIOL-LEFT-TO-RIGHT	WATER // CPD0-1063 // CPD-15979 // GLYCERATE	CPD0-1063 // WATER	CPD-15979 // GLYCERATE	"CPD0-1063" // "WATER"	"CPD-15979" // "GLYCERATE"
2-OCTAPRENYLPHENOL-HYDROX-RXN	EG11333-MONOMER	"EG11333-MONOMER"	"2-OCTAPRENYLPHENOL-HYDROX-RXN"	PHYSIOL-LEFT-TO-RIGHT	PROTON // NADPH // OXYGEN-MOLECULE // 2-OCTAPRENYLPHENOL // 2-OCTAPRENYL-6-HYDROXYPHENOL // WATER // NADP	2-OCTAPRENYLPHENOL // OXYGEN-MOLECULE // NADPH // PROTON	2-OCTAPRENYL-6-HYDROXYPHENOL // WATER // NADP	"2-OCTAPRENYLPHENOL" // "OXYGEN-MOLECULE" // "NADPH" // "PROTON"	"2-OCTAPRENYL-6-HYDROXYPHENOL" // "WATER" // "NADP"
RXNMETA-12671	G6708-MONOMER	"G6708-MONOMER"	"RXNMETA-12671"	REVERSIBLE	WATER // CPD0-2363 // CPDMETA-13650	CPD0-2363 // WATER	CPDMETA-13650	"CPD0-2363" // "WATER"	"CPDMETA-13650"
RXN0-6511	G6708-MONOMER	"G6708-MONOMER"	"RXN0-6511"	PHYSIOL-LEFT-TO-RIGHT	WATER // NADP // CPD0-2363 // CPD0-2364 // NADPH // PROTON	CPD0-2363 // NADP // WATER	CPD0-2364 // NADPH // PROTON	"CPD0-2363" // "NADP" // "WATER"	"CPD0-2364" // "NADPH" // "PROTON"
PHENYLPYRUVATE-TAUTOMERASE-RXN	""	""	"PHENYLPYRUVATE-TAUTOMERASE-RXN"	LEFT-TO-RIGHT	PHENYL-PYRUVATE // ENOL-PHENYLPYRUVATE	PHENYL-PYRUVATE	ENOL-PHENYLPYRUVATE	"PHENYL-PYRUVATE"	"ENOL-PHENYLPYRUVATE"
PHEAMINOTRANS-RXN	BRANCHED-CHAINAMINOTRANSFER-CPLX // ASPAMINOTRANS-DIMER // TYRB-DIMER	"BRANCHED-CHAINAMINOTRANSFER-CPLX" // "ASPAMINOTRANS-DIMER" // "TYRB-DIMER"	"PHEAMINOTRANS-RXN"	REVERSIBLE	GLT // PHENYL-PYRUVATE // PHE // 2-KETOGLUTARATE	PHENYL-PYRUVATE // GLT	PHE // 2-KETOGLUTARATE	"PHENYL-PYRUVATE" // "GLT"	"PHE" // "2-KETOGLUTARATE"
KETOBUTFORMLY-RXN	PYRUVFORMLY-CPLX // KETOBUTFORMLY-MONOMER	"PYRUVFORMLY-CPLX" // "KETOBUTFORMLY-MONOMER"	"KETOBUTFORMLY-RXN"	LEFT-TO-RIGHT	CO-A // 2-OXOBUTANOATE // PROPIONYL-COA // FORMATE	2-OXOBUTANOATE // CO-A	PROPIONYL-COA // FORMATE	"2-OXOBUTANOATE" // "CO-A"	"PROPIONYL-COA" // "FORMATE"
RXN-17751	L-LACTDEHYDROGFMN-MONOMER	"L-LACTDEHYDROGFMN-MONOMER"	"RXN-17751"	PHYSIOL-LEFT-TO-RIGHT	E- // PROTON // 2-OXOBUTANOATE // CPD-3564	2-OXOBUTANOATE // PROTON // E-	CPD-3564	"2-OXOBUTANOATE" // "PROTON" // "E-"	"CPD-3564"
TRANS-RXN0-558	""	""	"TRANS-RXN0-558"	LEFT-TO-RIGHT	2-OXOBUTANOATE	2-OXOBUTANOATE	2-OXOBUTANOATE	"2-OXOBUTANOATE"	"2-OXOBUTANOATE"
GABATRANSAM-RXN	G6646-MONOMER // GABATRANSAM-CPLX	"G6646-MONOMER" // "GABATRANSAM-CPLX"	"GABATRANSAM-RXN"	REVERSIBLE	4-AMINO-BUTYRATE // 2-KETOGLUTARATE // GLT // SUCC-S-ALD	2-KETOGLUTARATE // 4-AMINO-BUTYRATE	GLT // SUCC-S-ALD	"2-KETOGLUTARATE" // "4-AMINO-BUTYRATE"	"GLT" // "SUCC-S-ALD"
2OXOGLUTDECARB-RXN	E1O // 2OXOGLUTARATEDEH-CPLX	"E1O" // "2OXOGLUTARATEDEH-CPLX"	"2OXOGLUTDECARB-RXN"	LEFT-TO-RIGHT	PROTON // Oxo-glutarate-dehydrogenase-lipoyl // 2-KETOGLUTARATE // Oxo-glutarate-dehydro-suc-DH-lipoyl // CARBON-DIOXIDE	2-KETOGLUTARATE // Oxo-glutarate-dehydrogenase-lipoyl // PROTON	Oxo-glutarate-dehydro-suc-DH-lipoyl // CARBON-DIOXIDE	"2-KETOGLUTARATE" // "Oxo-glutarate-dehydrogenase-lipoyl" // "PROTON"	"Oxo-glutarate-dehydro-suc-DH-lipoyl" // "CARBON-DIOXIDE"
2OXOGLUTARATEDEH-RXN	2OXOGLUTARATEDEH-CPLX	"2OXOGLUTARATEDEH-CPLX"	"2OXOGLUTARATEDEH-RXN"	LEFT-TO-RIGHT	NAD // CO-A // 2-KETOGLUTARATE // SUC-COA // CARBON-DIOXIDE // NADH	2-KETOGLUTARATE // CO-A // NAD	SUC-COA // CARBON-DIOXIDE // NADH	"2-KETOGLUTARATE" // "CO-A" // "NAD"	"SUC-COA" // "CARBON-DIOXIDE" // "NADH"
ALANINE-AMINOTRANSFERASE-RXN	CPLX0-7887 // CPLX0-7888 // MONOMER0-1241	"CPLX0-7887" // "CPLX0-7888" // "MONOMER0-1241"	"ALANINE-AMINOTRANSFERASE-RXN"	REVERSIBLE	L-ALPHA-ALANINE // 2-KETOGLUTARATE // GLT // PYRUVATE	2-KETOGLUTARATE // L-ALPHA-ALANINE	GLT // PYRUVATE	"2-KETOGLUTARATE" // "L-ALPHA-ALANINE"	"GLT" // "PYRUVATE"
CYSTEINE-AMINOTRANSFERASE-RXN	ASPAMINOTRANS-DIMER	"ASPAMINOTRANS-DIMER"	"CYSTEINE-AMINOTRANSFERASE-RXN"	LEFT-TO-RIGHT	CYS // 2-KETOGLUTARATE // GLT // 3-MERCAPTO-PYRUVATE	2-KETOGLUTARATE // CYS	GLT // 3-MERCAPTO-PYRUVATE	"2-KETOGLUTARATE" // "CYS"	"GLT" // "3-MERCAPTO-PYRUVATE"
SUCCINYLDIAMINOPIMTRANS-RXN	PSERTRANSAM-CPLX // ACETYLORNTRANSAM-CPLX	"PSERTRANSAM-CPLX" // "ACETYLORNTRANSAM-CPLX"	"SUCCINYLDIAMINOPIMTRANS-RXN"	REVERSIBLE	N-SUCCINYLLL-2-6-DIAMINOPIMELATE // 2-KETOGLUTARATE // GLT // N-SUCCINYL-2-AMINO-6-KETOPIMELATE	2-KETOGLUTARATE // N-SUCCINYLLL-2-6-DIAMINOPIMELATE	GLT // N-SUCCINYL-2-AMINO-6-KETOPIMELATE	"2-KETOGLUTARATE" // "N-SUCCINYLLL-2-6-DIAMINOPIMELATE"	"GLT" // "N-SUCCINYL-2-AMINO-6-KETOPIMELATE"
RXN0-1144	""	""	"RXN0-1144"		SUCB-LIPOATE // 2-KETOGLUTARATE // SUCB-S-SUCCINYLDIHYDROLIPOATE // CARBON-DIOXIDE	2-KETOGLUTARATE // SUCB-LIPOATE	SUCB-S-SUCCINYLDIHYDROLIPOATE // CARBON-DIOXIDE	"2-KETOGLUTARATE" // "SUCB-LIPOATE"	"SUCB-S-SUCCINYLDIHYDROLIPOATE" // "CARBON-DIOXIDE"
TRANS-RXN-23	KGTP-MONOMER	"KGTP-MONOMER"	"TRANS-RXN-23"	LEFT-TO-RIGHT	PROTON // 2-KETOGLUTARATE	PROTON // 2-KETOGLUTARATE	PROTON // 2-KETOGLUTARATE	"PROTON" // "2-KETOGLUTARATE"	"PROTON" // "2-KETOGLUTARATE"
RXN-13459	""	""	"RXN-13459"	REVERSIBLE	OXOPENTENOATE // CPD-14441	OXOPENTENOATE	CPD-14441	"OXOPENTENOATE"	"CPD-14441"
2-OXOPENT-4-ENOATE-HYDRATASE-RXN	CPLX0-7951	"CPLX0-7951"	"2-OXOPENT-4-ENOATE-HYDRATASE-RXN"	RIGHT-TO-LEFT	4-HYDROXY-2-KETOVALERATE // OXOPENTENOATE // WATER	4-HYDROXY-2-KETOVALERATE	OXOPENTENOATE // WATER	"4-HYDROXY-2-KETOVALERATE"	"OXOPENTENOATE" // "WATER"
AMINEPHEN-RXN	AMINEOXID-CPLX	"AMINEOXID-CPLX"	"AMINEPHEN-RXN"	PHYSIOL-LEFT-TO-RIGHT	PHENYLETHYLAMINE // OXYGEN-MOLECULE // WATER // PHENYLACETALDEHYDE // AMMONIUM // HYDROGEN-PEROXIDE	WATER // OXYGEN-MOLECULE // PHENYLETHYLAMINE	PHENYLACETALDEHYDE // AMMONIUM // HYDROGEN-PEROXIDE	"WATER" // "OXYGEN-MOLECULE" // "PHENYLETHYLAMINE"	"PHENYLACETALDEHYDE" // "AMMONIUM" // "HYDROGEN-PEROXIDE"
RXN0-302	CPLX0-721	"CPLX0-721"	"RXN0-302"	LEFT-TO-RIGHT	2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET // CMP // 2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE	2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET	CMP // 2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE	"2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET"	"CMP" // "2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE"
RXN-15513	PHOSGLYCMUTASE	"PHOSGLYCMUTASE"	"RXN-15513"	REVERSIBLE	2-PG // G3P	2-PG	G3P	"2-PG"	"G3P"
3PGAREARR-RXN	PGMI-MONOMER	"PGMI-MONOMER"	"3PGAREARR-RXN"	REVERSIBLE	2-PG // G3P	2-PG	G3P	"2-PG"	"G3P"
2PGADEHYDRAT-RXN	ENOLASE-CPLX	"ENOLASE-CPLX"	"2PGADEHYDRAT-RXN"	REVERSIBLE	2-PG // PHOSPHO-ENOL-PYRUVATE // WATER	2-PG	PHOSPHO-ENOL-PYRUVATE // WATER	"2-PG"	"PHOSPHO-ENOL-PYRUVATE" // "WATER"
PHOSPHOGLYCERATE-PHOSPHATASE-RXN	ALKAPHOSPHA-CPLX	"ALKAPHOSPHA-CPLX"	"PHOSPHOGLYCERATE-PHOSPHATASE-RXN"	LEFT-TO-RIGHT	2-PG // WATER // GLYCERATE // Pi	WATER // 2-PG	GLYCERATE // Pi	"WATER" // "2-PG"	"GLYCERATE" // "Pi"
GPH-RXN	ALKAPHOSPHA-CPLX // GPH-MONOMER	"ALKAPHOSPHA-CPLX" // "GPH-MONOMER"	"GPH-RXN"	PHYSIOL-LEFT-TO-RIGHT	CPD-67 // WATER // GLYCOLLATE // Pi	WATER // CPD-67	GLYCOLLATE // Pi	"WATER" // "CPD-67"	"GLYCOLLATE" // "Pi"
RXN-9310	EG12438-MONOMER	"EG12438-MONOMER"	"RXN-9310"	LEFT-TO-RIGHT	CPD-9924 // CPD-9923 // PYRUVATE	CPD-9924	CPD-9923 // PYRUVATE	"CPD-9924"	"CPD-9923" // "PYRUVATE"
RXN-14481	G6364-MONOMER	"G6364-MONOMER"	"RXN-14481"	PHYSIOL-LEFT-TO-RIGHT	S-ADENOSYLMETHIONINE // CPD-15360 // CPD-11592 // ADENOSYL-HOMO-CYS // PROTON	CPD-15360 // S-ADENOSYLMETHIONINE	CPD-11592 // ADENOSYL-HOMO-CYS // PROTON	"CPD-15360" // "S-ADENOSYLMETHIONINE"	"CPD-11592" // "ADENOSYL-HOMO-CYS" // "PROTON"
RXN-12611	THIE-MONOMER	"THIE-MONOMER"	"RXN-12611"	LEFT-TO-RIGHT	PROTON // AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP // CPD-13575 // THIAMINE-P // CARBON-DIOXIDE // PPI	CPD-13575 // AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP // PROTON	THIAMINE-P // CARBON-DIOXIDE // PPI	"CPD-13575" // "AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP" // "PROTON"	"THIAMINE-P" // "CARBON-DIOXIDE" // "PPI"
ENTG-RXN	ENTF-PANT // ENTMULTI-CPLX	"ENTF-PANT" // "ENTMULTI-CPLX"	"ENTG-RXN"	LEFT-TO-RIGHT	DHB-Seryl-EntF // ENTEROBACTIN // Holo-EntF	DHB-Seryl-EntF	ENTEROBACTIN // Holo-EntF	"DHB-Seryl-EntF"	"ENTEROBACTIN" // "Holo-EntF"
DEPHOSPHOCOAKIN-RXN	EG12312-MONOMER	"EG12312-MONOMER"	"DEPHOSPHOCOAKIN-RXN"	LEFT-TO-RIGHT	ATP // DEPHOSPHO-COA // PROTON // CO-A // ADP	DEPHOSPHO-COA // ATP	PROTON // CO-A // ADP	"DEPHOSPHO-COA" // "ATP"	"PROTON" // "CO-A" // "ADP"
2.7.8.25-RXN	G6339-MONOMER	"G6339-MONOMER"	"2.7.8.25-RXN"	LEFT-TO-RIGHT	ATP // DEPHOSPHO-COA // PROTON // 2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO- // ADENINE	PROTON // DEPHOSPHO-COA // ATP	2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO- // ADENINE	"PROTON" // "DEPHOSPHO-COA" // "ATP"	"2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO-" // "ADENINE"
1.8.4.8-RXN	PAPSSULFOTRANS-CPLX	"PAPSSULFOTRANS-CPLX"	"1.8.4.8-RXN"	RIGHT-TO-LEFT	PROTON // Ox-Thioredoxin // SO3 // 3-5-ADP // PAPS // Red-Thioredoxin	3-5-ADP // SO3 // Ox-Thioredoxin // PROTON	PAPS // Red-Thioredoxin	"3-5-ADP" // "SO3" // "Ox-Thioredoxin" // "PROTON"	"PAPS" // "Red-Thioredoxin"
RXN0-5065	CPLX0-3941	"CPLX0-3941"	"RXN0-5065"	PHYSIOL-LEFT-TO-RIGHT	WATER // 34-DIHYDROXYPHENYLACETYL-COA // CPD-782 // CO-A // PROTON	34-DIHYDROXYPHENYLACETYL-COA // WATER	CPD-782 // CO-A // PROTON	"34-DIHYDROXYPHENYLACETYL-COA" // "WATER"	"CPD-782" // "CO-A" // "PROTON"
RXN-7632	EG11581-MONOMER	"EG11581-MONOMER"	"RXN-7632"		NADPH // 34-DIHYDROXYPHENYLPYRUVATE // PROTON // CPD-6982 // NADP	PROTON // 34-DIHYDROXYPHENYLPYRUVATE // NADPH	CPD-6982 // NADP	"PROTON" // "34-DIHYDROXYPHENYLPYRUVATE" // "NADPH"	"CPD-6982" // "NADP"
1.13.11.16-RXN	DHPDIOXYGEN-CPLX	"DHPDIOXYGEN-CPLX"	"1.13.11.16-RXN"	PHYSIOL-LEFT-TO-RIGHT	OXYGEN-MOLECULE // 2-3-DIHYDROXYPHENYL-PROPIONATE // PROTON // CPD-157	2-3-DIHYDROXYPHENYL-PROPIONATE // OXYGEN-MOLECULE	PROTON // CPD-157	"2-3-DIHYDROXYPHENYL-PROPIONATE" // "OXYGEN-MOLECULE"	"PROTON" // "CPD-157"
MHPHYDROXY-RXN	MHPHYDROXY-MONOMER	"MHPHYDROXY-MONOMER"	"MHPHYDROXY-RXN"	PHYSIOL-LEFT-TO-RIGHT	OXYGEN-MOLECULE // NADH // 3-HYDROXYPHENYL-PROPIONATE // PROTON // WATER // 2-3-DIHYDROXYPHENYL-PROPIONATE // NAD	PROTON // 3-HYDROXYPHENYL-PROPIONATE // NADH // OXYGEN-MOLECULE	WATER // 2-3-DIHYDROXYPHENYL-PROPIONATE // NAD	"PROTON" // "3-HYDROXYPHENYL-PROPIONATE" // "NADH" // "OXYGEN-MOLECULE"	"WATER" // "2-3-DIHYDROXYPHENYL-PROPIONATE" // "NAD"
TRANS-RXN-61	MHPT-MONOMER	"MHPT-MONOMER"	"TRANS-RXN-61"	LEFT-TO-RIGHT	PROTON // 3-HYDROXYPHENYL-PROPIONATE	PROTON // 3-HYDROXYPHENYL-PROPIONATE	PROTON // 3-HYDROXYPHENYL-PROPIONATE	"PROTON" // "3-HYDROXYPHENYL-PROPIONATE"	"PROTON" // "3-HYDROXYPHENYL-PROPIONATE"
HYDROXYPHENYLPYRUVATE-REDUCTASE-RXN	""	""	"HYDROXYPHENYLPYRUVATE-REDUCTASE-RXN"		NAD // 4-HYDROXYPHENYLLACTATE // P-HYDROXY-PHENYLPYRUVATE // NADH // PROTON	4-HYDROXYPHENYLLACTATE // NAD	P-HYDROXY-PHENYLPYRUVATE // NADH // PROTON	"4-HYDROXYPHENYLLACTATE" // "NAD"	"P-HYDROXY-PHENYLPYRUVATE" // "NADH" // "PROTON"
